Will the value of the FAO Cereals Price Index for October 2022 be higher than it was for September 2022?,2022-09-12T17:00:00Z,2022-11-01T07:01:00Z,Yes,"['Yes', 'No']","['Business', 'Society', 'Security and Conflict']",454,654,137,237,,https://www.gjopen.com/questions/2532-will-the-value-of-the-fao-cereals-price-index-for-october-2022-be-higher-than-it-was-for-september-2022
107260,2022-11-01T04:16:08Z,1,[96.0],[96.0],
107500,2022-10-21T18:41:04Z,3,[75.0],[5.0],GIven the impacts on the continuing war in Russia
105209,2022-10-21T13:20:09Z,9,[60.0],[-7.0],
14603,2022-10-21T06:57:11Z,6,[83.0],[8.0],
81495,2022-10-20T17:50:06Z,8,[90.0],[1.0],
105209,2022-10-20T17:09:56Z,8,[67.0],[-8.0],
85144,2022-10-20T15:47:50Z,5,[71.0],[3.0],
107479,2022-10-20T15:26:47Z,3,[70.0],[25.0],Recently released data shows that the FAO Cereals Price Index rose 1.5% between August and September of 2022. I updated my prediction to reflect this information.
107401,2022-10-20T13:46:55Z,8,[65.0],[10.0],Thanks for sharing @mtngeogeek You've convinced me to increase my forecast.
961,2022-10-20T13:34:31Z,5,[78.0],[1.0],
107465,2022-10-20T11:09:10Z,17,[77.0],[14.0],"https://www.asian-agribiz.com/2022/10/12/fao-reduces-global-cereal-production-outlook/ Production outlook is reduced as announced this week. If production is forecast to be lower, will price rise? Also while rest of food index dropped last month, cereal rose: ""The FAO Cereal Price Index, by contrast, rose 1.5 percent from August. International wheat prices rebounded by 2.2 percent, linked to concerns regarding dry crop conditions in Argentina and the United States of America, a fast pace of exports from the European Union amid high internal demand and heightened uncertainty about the Black Sea Grain Initiative’s continuation beyond November. World maize prices were mostly stable, as a strong United States dollar countered pressure from a tighter supply outlook linked to downgraded production prospects in the United States of America and the European Union. The FAO All-Rice Price Index rose by 2.2 percent, largely in response to export policy changes in India."" https://www.kaieteurnewsonline.com/2022/10/10/fao-food-price-index-drops-for-the-sixth-consecutive-month/"
96828,2022-10-20T06:30:45Z,14,[59.0],[-1.0],
96828,2022-10-20T06:28:57Z,13,[60.0],[1.0],
107821,2022-10-20T05:04:06Z,1,[60.0],[60.0],"delivery issues in US, esp for cereals, Slaughtering animals for meat to avoid feeding costs"
107493,2022-10-19T18:06:00Z,6,[67.0],[8.0],
107343,2022-10-19T17:52:10Z,3,[1.0],[-69.0],"Currently, the price of the FAO cereal index has been decreasing five months in a row. This is due to the war in Ukraine throwing a wrench into the calculus of the global economy. Because there are no signs that grain production will increase, the price the cereal will most likely get steeper for the month of October."
107544,2022-10-19T17:47:54Z,2,[67.0],[25.0],
107343,2022-10-19T17:42:31Z,2,[70.0],[0.0],
107589,2022-10-19T17:08:06Z,2,[95.0],[20.0],"According to the 14th October release of USDA's Wheat Outlook monthly report, the uS will have the smallest ending stocks of wheat since 2007/08. As wheat is a major constituent of the Cereal Price Index and the US is a major player in global wheat market, this would likely put upward pressure on prices. Secondly, the recent escalation in Ukraine with Russia targeting critical infrastructure will further put at risk global wheat supplies. Lastly, decrease in area under cultivation and lower yields in Europe will further constrain already tight cereal markets. The confluence of all these factors makes an upward revision to the previous forecast warranted."
107799,2022-10-19T16:24:45Z,2,[78.0],[8.0]
107331,2022-10-19T14:48:58Z,1,[30.0],[30.0],
1646,2022-10-19T14:16:13Z,3,[74.0],[16.0],
1646,2022-10-19T14:16:02Z,2,[58.0],[39.0],
105251,2022-10-19T13:51:21Z,3,[76.0],[0.0],
107336,2022-10-19T13:24:48Z,4,[70.0],[10.0],"According to the FAO: ""The FAO Cereal Price Index averaged 147.8 points in September, up 2.2 points (1.5 percent) from August and 14.9 points (11.2 percent) above its September 2021 value."" I looked at other forecasters' rationale and found sginodia's one very convincing. They looked at the EU's area under cereal production which has dropped below the five-year average and production is therefore expected to decrease significantly. EU Cereal yields have already fell by almost 7% in Sept 2022 compared to 2021 due to the drought this summer."
961,2022-10-19T12:14:55Z,4,[77.0],[10.0],
107912,2022-10-18T20:24:53Z,1,[85.0],[85.0],
107577,2022-10-18T19:48:24Z,4,[75.0],[0.0],"In addition to the previous explanation, the European Commission also reported on 10/6 that despite EU efforts to ramp up cereal production by relaxing environmental rules, the area under cereal production has dropped below the five-year average and production is expected to decrease significantly. Additionally, EU cereal yields, the amount harvested per hectare, fell by almost 7% in Sept 2022 compared to 2021 and 3% compared to the five-year average. This has been attributed to the summer drought in many parts of the continent that impacted crop yield. This further strengthens my prediction that the Cereal Price Index will be higher in Oct than Sept."
107524,2022-10-18T19:31:26Z,2,[75.0],[15.0],"Based on the recently released September Cereal Index, the FAO Cereal Price Index rose 1.5 percent from August although overall food prices index fell. The rebound is due to high internal demand and continued supply concerns amid uncertainty about the Black Sea Grain and dry conditions in Argentina and US that are likely to remain through October."
107577,2022-10-18T19:30:27Z,3,[75.0],[10.0],"Updating my forecast by 10pp, based on the recently released Sept prices, which show an uptake in cereal price index relative to August. This is in-keeping with the decline in cereal production announced in Sept. With no changes in cereal production, I expect the trend of increasing price index to hold for October as well."
107533,2022-10-18T16:27:44Z,4,[32.0],[-5.0],"Reduced the probability slightly on 18th Oct, given the recent news that food price indices are continuing to see a download trend in general."
107535,2022-10-18T14:55:32Z,4,[66.0],[-2.0],"I have just seen that wheat prices have gone down slightly in the past week, leaving me to slightly downwardly adjust my prediction"
107401,2022-10-18T13:15:18Z,7,[55.0],[15.0],
105369,2022-10-18T09:33:35Z,5,[25.0],[5.0],
107472,2022-10-18T05:11:02Z,5,[71.0],[9.0],
105251,2022-10-18T05:10:18Z,2,[76.0],[0.0],
105251,2022-10-18T04:41:36Z,1,[76.0],[76.0],
107343,2022-10-18T03:49:59Z,1,[70.0],[70.0],"In September we saw the FAO Price Index rise from what it was in August. Because there has not been any drastic changes in the market for cereal and the price of grain seams consistent, there is no reason that the price index will not continue to rise for the current month. While the price may not rise significantly, it will get nevertheless get higher for the foreseeable future."
81456,2022-10-17T23:37:55Z,9,[57.0],[0.0],"Ukraine Oct grain exports almost return to pre-war levels - ministry - Reuters, Oct 17, https://www.reuters.com/markets/europe/ukraine-oct-grain-exports-almost-return-pre-war-levels-ministry-2022-10-17/"
691,2022-10-17T17:17:13Z,6,[70.0],[2.0],
96828,2022-10-17T15:14:02Z,12,[59.0],[2.0],
81495,2022-10-17T14:36:09Z,7,[89.0],[4.0],
107401,2022-10-17T14:01:31Z,6,[40.0],[5.0],The war in Ukraine and inflation should push cereals prices higher. The war affects expected supply while inflation makes cereals a more attractive source of relatively cheaper calories.
107475,2022-10-17T03:00:19Z,4,[60.0],[10.0],Price of cereals still rising
107696,2022-10-16T20:51:51Z,1,[70.0],[70.0],
107542,2022-10-16T20:16:36Z,2,[55.0],[15.0],"March 2022 saw the highest jump on the CPI, due to the Russian invasion of Ukraine, and has since slowly stabilized to pre-March levels. However, the recent threats of Russia towards Ukraine, including the annexation of four provinces this week, may point to heightened conflict during the rest of October and disruption of the supply chains of cereals, or further sanctions against the aggresor."
107577,2022-10-16T17:02:08Z,2,[65.0],[0.0],
102121,2022-10-16T14:35:43Z,5,[71.0],[6.0],
96618,2022-10-16T07:54:22Z,2,[85.0],[32.0],
107848,2022-10-16T06:10:18Z,1,[100.0],[100.0],
14603,2022-10-15T07:58:50Z,5,[75.0],[15.0],
107182,2022-10-15T07:05:02Z,4,[70.0],[5.0],
107182,2022-10-15T07:04:00Z,3,[65.0],[35.0],
86607,2022-10-14T21:29:16Z,7,[60.0],[2.0],
96828,2022-10-14T20:10:07Z,11,[57.0],[2.0],
107296,2022-10-14T18:45:06Z,2,[72.0],[32.0],Trend of lowering prices has eased in recent months. Returning to base case of trend for cereal price index to increase in October relative to September.
691,2022-10-14T13:37:11Z,5,[68.0],[4.0],
86367,2022-10-14T10:22:08Z,3,[59.0],[5.0],
107437,2022-10-14T07:03:57Z,2,[60.0],[-25.0],— Ripresa dei trasporti di grano dall’Ucraina favorita dalla 🇹🇷 Turchia
107521,2022-10-13T19:38:17Z,3,[55.0],[5.0],
107511,2022-10-13T18:19:46Z,3,[60.0],[10.0],Predicting a higher probability than before because of the recent escalation of conflict in Ukraine that could lead to a surge in cereal prices
103902,2022-10-13T16:40:32Z,1,[74.0],[74.0],
105209,2022-10-13T15:26:55Z,7,[75.0],[5.0],
81495,2022-10-13T14:05:17Z,6,[85.0],[3.0],
107535,2022-10-13T03:12:00Z,3,[68.0],[3.0],"Perusing commodity prices for different products included in the FAO cereals index, I see evidence that prices are experiencing a model but perceivable uptick on a monthly basis, suggesting the index will be higher than month than last"
107493,2022-10-12T19:08:59Z,5,[59.0],[8.0],
107548,2022-10-12T15:05:05Z,2,[57.0],[17.0],
107336,2022-10-12T15:00:50Z,3,[60.0],[5.0],3 factors that would make prices in October higher than in September:
107799,2022-10-12T14:59:23Z,1,[70.0],[70.0],The average increase from sept to oct over the last 32 years has been 0.91 and the median increase over the same period is 0.7. In 23 of the 32 years there has been an increase of cereal prices from sept to oct which equates to approx 70%.
107553,2022-10-12T14:58:18Z,5,[50.0],[11.0],
107547,2022-10-12T14:57:52Z,3,[55.0],[15.0],There seems to be a trend of upward prices.
107516,2022-10-12T14:57:38Z,2,[60.0],[20.0],
107553,2022-10-12T14:45:09Z,4,[39.0],[4.0],
107553,2022-10-12T14:44:55Z,3,[35.0],[0.0],"Information from sources and historical trends grounds this forecast: the FAO Cereal Price Index increased 1.5% to 147.80 Index Points in September from 145.60 Index Points in August of 2022, mainly due to a 2.2% surge in international wheat prices, underpinned by heightened uncertainty about the Black Sea Grain Initiative's continuation beyond November and the potential impact on Ukraine's exports. As we draw near the closing, I believe this trend to continue and prices to continue to drop."
1333,2022-10-12T13:41:42Z,17,[100.0],[18.0],
107508,2022-10-12T02:18:14Z,8,[30.0],[0.0],
107485,2022-10-12T02:12:27Z,4,[65.0],[6.0],"From 10/7 article- new Food price index fell, but cereals rose. ""FAO's cereal price index rose 1.5% month-on-month in September, with wheat prices climbing 2.2% because of concerns over dry crop conditions in Argentina and the United States, strong EU exports and heightened uncertainty over access to Ukrainian Black Sea ports beyond November."""
107431,2022-10-11T23:47:47Z,3,[67.0],[30.0],"Most of the prices stagnated or increased. However, the prices of vegetable oil went down due to normal harvest times in September. Although the price went down fast, the price drop slowed significantly. I see the supply as going down and demand will continue to increase."
107465,2022-10-11T15:07:55Z,16,[63.0],[2.0],
961,2022-10-11T13:28:49Z,3,[67.0],[1.0],
107545,2022-10-11T12:53:58Z,5,[55.0],[36.0],
34959,2022-10-11T06:29:10Z,2,[60.0],[8.0],
85144,2022-10-10T16:12:02Z,4,[68.0],[-6.0],
99943,2022-10-10T15:42:05Z,2,[60.0],[0.0],"Repeating my forecast.""The FAO Cereal Price Index averaged 147.8 points in September, up 2.2 points (1.5 percent) from August""I think the cereals price index is slightly more likely than not to end up higher in Oct than in Sept, but it could easily also bounce down a little bit. But given current production, supply, demand and political circumstances, I think it's a bit more likely to go up than to go down from Sept to Oct."
105338,2022-10-10T15:27:43Z,2,[65.0],[-10.0],
100664,2022-10-10T15:21:00Z,1,[15.0],[15.0],
107493,2022-10-10T15:10:22Z,4,[51.0],[7.0],
105369,2022-10-10T11:26:42Z,4,[20.0],[-5.0],"For each month in the June-Sept period, the price of each of the five commodity groups that make up the overall food price index decreased on every occasion--except for cereals in September. That's 19 out of 20 price movements in the negative direction."
88452,2022-10-10T09:02:45Z,2,[0.0],[0.0],August 2022: 145.6
1333,2022-10-10T02:50:45Z,16,[82.0],[1.0]
107472,2022-10-10T01:25:17Z,4,[62.0],[25.0],"I am changing my projection significantly given the September FAO Cereals Price Index numbers. It changes the trend analysis from consistently falling (quantitative), is in line with prior Septembers-to-Octobers (historical), and aligns to recent trends in supply chain difficulties, particularly given the war in Ukraine (qualitative). Altogether, these factors make me now believe there is a more-likely-than-not chance that October FAO Cereal price is higher than September."
107520,2022-10-09T18:00:39Z,3,[52.0],[1.0],"I'm raising my forecast by 1% because of recent data. The FAO Cereal Price Index rose 1.5 percent from August and international wheat prices rebounded by 2.2% (linked to concerns regarding dry crop conditions in Argentina and the United States of America, a fast pace of exports from the European Union amid high internal demand and heightened uncertainty about the Black Sea Grain Initiative’s continuation beyond November). Additionally, the FAO communicated expected declines in wheat exports from Argentina, India and especially Ukraine from their previous season's levels."
107475,2022-10-09T15:06:58Z,3,[50.0],[40.0],"The September prices went higher than August, with reports of possible shortage in supply."
107508,2022-10-09T09:58:05Z,7,[30.0],[-10.0],
81495,2022-10-09T03:54:46Z,5,[82.0],[2.0],
81456,2022-10-08T19:53:46Z,8,[57.0],[-4.0],"We are still in the beginning of October, but, to my untrained eye at least, the US future prices for corn look mostly flat, while the prices for wheat and rice seem to be trending lower:"
107399,2022-10-08T16:23:23Z,2,[65.0],[60.0],"While the FAO Food Price index has dropped the last 6 months, cereal prices rose 1.5% in September. ( https://www.fao.org/newsroom/detail/fao-food-price-index-drops-for-the-sixth-consecutive-month/en )"
107531,2022-10-08T13:32:42Z,5,[52.0],[-1.0],
105209,2022-10-08T13:15:06Z,6,[70.0],[5.0],
14603,2022-10-08T08:17:04Z,4,[60.0],[10.0],
107220,2022-10-07T14:52:53Z,2,[100.0],[100.0],Misread the question and got my earlier forecast the wrong way round. The price index usually drifts upwards towards the end of the year if nothing exciting happens in the world. I think all the global excitement happened in Q1.
107508,2022-10-07T13:47:35Z,6,[40.0],[-20.0],
107508,2022-10-07T13:46:59Z,5,[60.0],[0.0],
81456,2022-10-07T13:15:05Z,7,[61.0],[8.0],"I have said in the past that, at least when it comes to food price stuff, @slapthepancake is a force to be taken seriously..."
102121,2022-10-07T12:42:01Z,4,[65.0],[5.0],
107465,2022-10-07T12:31:24Z,15,[61.0],[22.0],"The food index went down overall from Aug to Sept but the cereal index individually went up https://www.fao.org/worldfoodsituation/foodpricesindex/en/ Pakistan's rice production is affected by floodings, projected to persist for 6 months https://news.un.org/en/story/2022/09/1127051"
107465,2022-10-07T02:18:41Z,14,[39.0],[0.0],I didn't find any previews of the data that is supposed to come on 10/7 showing September.
961,2022-10-06T22:27:20Z,2,[66.0],[13.0],
105209,2022-10-06T18:29:02Z,5,[65.0],[-5.0],
1333,2022-10-06T18:22:16Z,15,[81.0],[-1.0],
107382,2022-10-06T16:06:26Z,1,[10.0],[10.0],I think the index will increase based on the cost of transportation increasing.
107531,2022-10-06T14:02:56Z,4,[53.0],[-20.0],As the Sept 2022 data came in and with it I see the variance across the year and the 4-month moving average makes me regress on my optimistic forecast and go closer to a smaller probability.
107508,2022-10-06T11:47:17Z,4,[60.0],[0.0],
81495,2022-10-06T01:44:11Z,4,[80.0],[-3.0],
81456,2022-10-06T01:17:32Z,6,[53.0],[2.0],
107401,2022-10-06T00:33:43Z,5,[35.0],[10.0]
107547,2022-10-05T15:33:01Z,2,[40.0],[10.0],"I dono't have enough information, I'm adjusting based on the crowd forecast."
96828,2022-10-05T14:51:40Z,10,[55.0],[2.0],
85144,2022-10-05T10:29:29Z,3,[74.0],[-5.0],
1333,2022-10-05T06:15:52Z,14,[82.0],[1.0],
107541,2022-10-05T01:35:04Z,2,[33.0],[-2.0],"With the news of Morocco's increase in cereal production, it seems less likely that the value will be higher than Sept 22. Slightly reducing."
107478,2022-10-04T21:03:47Z,2,[80.0],[15.0],
107539,2022-10-04T19:59:33Z,2,[58.0],[3.0],
1333,2022-10-04T18:30:42Z,13,[81.0],[12.0],
691,2022-10-04T16:36:12Z,4,[64.0],[-8.0],
107336,2022-10-04T15:06:01Z,2,[55.0],[-15.0],"After reading comments on historical trends, it doesn't seem that there is such a big shift between September and October. However, September numbers will be released this Friday and will require that I update."
107465,2022-10-04T13:19:48Z,13,[39.0],[0.0],
86607,2022-10-03T21:20:10Z,6,[58.0],[9.0],I think the observation from @slapthepancake about the base rate of MoM Sep->Oct changes is fairly persuasive
102121,2022-10-03T15:42:03Z,3,[60.0],[3.0],
86607,2022-10-02T19:39:12Z,5,[49.0],[4.0],Smart money seems to have this higher than I do but I have no persuasive evidence either way
107401,2022-10-02T19:36:24Z,4,[25.0],[0.0],
691,2022-10-02T18:03:50Z,3,[72.0],[-4.0],
107718,2022-10-02T16:23:18Z,1,[100.0],[100.0],ammonium@ferryman
107465,2022-10-02T14:46:29Z,12,[39.0],[0.0],
106664,2022-10-02T14:13:16Z,1,[30.0],[30.0],There doesn’t appear to be a clear seasonal shift in previous years between September and October - my eyeballing of the monthly figures gives a uniform split of September being higher or lower than October for the cereals index. The last 5 months have seen the index fall.
107472,2022-10-02T04:50:31Z,3,[37.0],[-2.0],
107479,2022-10-01T20:58:41Z,2,[45.0],[5.0],I increased my prediction slightly after looking at the historical nominal data for the Cereals Price Index.
107528,2022-10-01T18:05:27Z,2,[47.0],[7.0],Revising upward given historical trend of index increasing towards the end of year
107493,2022-10-01T14:30:26Z,3,[44.0],[-6.0],
107465,2022-10-01T13:53:48Z,11,[39.0],[0.0],"Next FAO report comes out on 10/2, so will update tomorrow"
1333,2022-10-01T00:56:40Z,12,[69.0],[4.0],
107475,2022-09-30T19:01:19Z,2,[10.0],[-15.0],"Putin has not escalated militarily as previously perceived, while he is giving assurances of the free flow of cereals."
107706,2022-09-30T18:35:11Z,2,[25.0],[-50.0],
107706,2022-09-30T18:34:10Z,1,[75.0],[75.0],
107533,2022-09-30T16:43:09Z,3,[37.0],[-3.0],"Reduced marginally based on some reports indicating that other countries are likely to increase cereal production (e.g., Morocoo)"
48624,2022-09-30T13:15:45Z,1,[43.0],[43.0],
107465,2022-09-30T01:41:22Z,10,[39.0],[0.0],
77855,2022-09-29T18:58:58Z,1,[100.0],[100.0],Global Ag production in 2022 will be below 2021. A 3rd La Nina year portends challenging climate conditions (drought) for 2023 crops.
107182,2022-09-29T18:32:57Z,2,[30.0],[0.0],
107693,2022-09-29T17:32:45Z,1,[55.0],[55.0],
85144,2022-09-29T16:07:38Z,2,[79.0],[-5.0],
81456,2022-09-29T15:48:15Z,5,[51.0],[1.0],
107527,2022-09-28T21:35:00Z,2,[65.0],[-5.0],
34499,2022-09-28T21:26:24Z,1,[90.0],[90.0],
1667,2022-09-28T20:01:43Z,1,[70.0],[70.0],"It looks like in the past few years, prices have tended upwards starting in September, so perhaps this trend will repeat itself."
106642,2022-09-28T19:28:52Z,2,[72.0],[7.0],
107508,2022-09-28T18:25:36Z,3,[60.0],[0.0],
107553,2022-09-28T15:05:10Z,2,[35.0],[10.0],
102121,2022-09-28T13:05:14Z,2,[57.0],[-8.0],
105369,2022-09-28T11:46:03Z,3,[25.0],[0.0],
