"Before 1 January 2023, will a ride-hailing service open to the public which uses autonomous vehicles be launched and/or tested on public roads in Dubai?",2021-10-01T17:00:00Z,2023-01-01T08:01:00Z,No,"['Yes', 'No']","['Business', 'Technology']",255,654,81,237,,https://www.gjopen.com/questions/2146-before-1-january-2023-will-a-ride-hailing-service-open-to-the-public-which-uses-autonomous-vehicles-be-launched-and-or-tested-on-public-roads-in-dubai
105312,2022-12-31T21:11:25Z,2,[99.0],[23.0],passage of time
14208,2022-11-28T16:18:05Z,2,[0.0],[0.0],
422,2022-11-28T15:51:07Z,6,[6.0],[-32.0],
691,2022-11-28T13:07:32Z,20,[28.0],[-4.0],
691,2022-11-24T17:02:41Z,19,[32.0],[-10.0],
88452,2022-11-24T13:23:38Z,3,[50.0],[-50.0],
29054,2022-11-23T22:39:15Z,3,[0.0],[-28.0],
79508,2022-11-22T20:59:42Z,9,[1.0],[-7.0],
1333,2022-11-22T16:15:46Z,91,[0.0],[-1.0],
691,2022-11-21T21:39:16Z,18,[42.0],[2.0],
108077,2022-11-14T14:19:46Z,1,[50.0],[50.0],"The vision has been clearly set by Dubai leadership for a self-driving strategy as stated by Sheikh Hamdan ""Our goal is to convert 25 per cent of the total transportation in Dubai into self-driving trips through various means of transportation by 2030”."
108095,2022-11-13T17:51:05Z,1,[10.0],[10.0],"Hi Realistic,"
86367,2022-11-11T23:31:01Z,8,[0.0],[-5.0],
79508,2022-11-10T18:21:08Z,8,[8.0],[-7.0],Tick tock 51 days left and nothing seems to be set to take off
108125,2022-11-09T08:46:08Z,1,[40.0],[40.0],"It is not likely to start before January 2023, but RTA will start its autonomous vehicle service in 2023 and the number of deployed driverless vehicles planned to be increased to 4,000 by 2030. it is more likely to be after January but during the year of 2023."
108119,2022-11-08T22:10:10Z,1,[75.0],[75.0],"The answer is a bit tricking , we have information that autonomous vehicles are being tested and other hand it’s still not lunched"
62808,2022-11-03T20:27:37Z,10,[50.0],[10.0],
62808,2022-11-03T20:26:57Z,9,[40.0],[-9.0],
62808,2022-11-03T20:26:32Z,8,[49.0],[-51.0],
79508,2022-10-31T12:33:20Z,7,[15.0],[-24.0],"They have mapped out an area and some Origin taxis are there, but getting them to run a trail service in the next few months could be a tough ask, so marking down"
691,2022-10-29T17:09:12Z,17,[40.0],[-2.0],
79508,2022-10-27T14:48:04Z,6,[39.0],[-3.0],
1333,2022-10-24T15:52:09Z,90,[1.0],[0.0],
107718,2022-10-23T19:28:30Z,3,[20.0],[-80.0],
691,2022-10-23T14:43:37Z,16,[42.0],[-6.0],
107848,2022-10-23T14:24:22Z,1,[0.0],[0.0],
107718,2022-10-21T09:08:03Z,2,[100.0],[100.0],
4531,2022-10-18T15:05:10Z,2,[39.0],[-50.0],
1333,2022-10-15T13:07:05Z,89,[1.0],[0.0],
691,2022-10-14T16:17:24Z,15,[48.0],[8.0],
691,2022-10-08T12:17:52Z,14,[40.0],[-8.0],
691,2022-10-07T13:09:10Z,13,[48.0],[-18.0],
79508,2022-10-05T08:19:34Z,5,[42.0],[2.0],Going to give it a slight push upwards on the back of this news story which does tie in with other reasoning
79508,2022-10-03T07:29:45Z,4,[40.0],[-5.0],
107718,2022-10-02T20:12:34Z,1,[0.0],[0.0],
105251,2022-10-01T02:59:54Z,1,[14.0],[14.0],
86367,2022-10-01T02:33:55Z,7,[5.0],[-9.0]
62808,2022-09-25T19:08:49Z,7,[100.0],[61.0],
25601,2022-09-25T09:51:11Z,2,[60.0],[-6.0],
1333,2022-09-24T11:09:19Z,88,[1.0],[1.0],
1333,2022-09-20T20:22:25Z,87,[0.0],[-85.0],
1333,2022-09-15T21:17:36Z,86,[85.0],[-3.0],
4531,2022-09-14T23:18:14Z,1,[89.0],[89.0],
691,2022-09-14T17:05:50Z,12,[66.0],[-10.0],
107437,2022-09-14T12:56:59Z,1,[80.0],[80.0],
422,2022-09-13T19:33:18Z,5,[38.0],[-13.0],
1333,2022-09-12T10:09:34Z,85,[88.0],[-1.0],
691,2022-09-09T13:43:22Z,11,[76.0],[-8.0],
79508,2022-09-08T20:27:56Z,3,[45.0],[-3.0],
48234,2022-09-06T14:10:11Z,3,[0.0],[-40.0],
1333,2022-08-31T14:49:35Z,84,[89.0],[0.0],
691,2022-08-29T14:56:33Z,10,[84.0],[18.0],
1333,2022-08-24T15:59:30Z,83,[89.0],[-1.0],
106642,2022-08-22T21:49:42Z,1,[41.0],[41.0],
1333,2022-08-21T08:23:11Z,82,[90.0],[-10.0],
107049,2022-08-11T11:28:38Z,2,[26.0],[0.0],
88452,2022-08-10T06:16:06Z,2,[100.0],[0.0],"""Cruise controlDriverless taxis will begin to appear on Dubai roads over the next few weeks as trials take place to prepare the autonomous vehicles for the city’s unique driving style, according to the Dubai Roads and Transport Authority. The first 10 automated taxis, supplied by Cruise, the San Francisco-based self-driving car firm, majority-owned by American giant General Motors, will begin carrying paying passengers in late 2023. The aim is to gradually increase this number so that by 2030, 4,000 driverless taxis will be in operation. With their seats facing each other, the taxis can comfortably transport six people and plenty of luggage. Each vehicle is fitted with 100 sensors, soothes GM, so taxis will be able to respond safely to other drivers and stationery objects."""
107049,2022-08-08T15:30:57Z,1,[26.0],[26.0],
62808,2022-08-05T22:02:55Z,6,[39.0],[-11.0],
62808,2022-08-05T21:58:03Z,5,[50.0],[-10.0],
79508,2022-08-03T21:34:41Z,2,[48.0],[5.0],"They are busy mapping with Bolts and will start with Origins, which is all set for next year, not so sure they could get a free trial service going with the Origin by the end of the year, basically five months. On the other hand GM are burning a lot of cash with Cruise, so getting a service up and running outside the USA with a deep pocket client would bring a fair bit of wiggle room, a feather in the cap and a nice portfolio, would also go a long way to pulling a deal in Japan closer, it is all in all a major mission. It would look like trails due to start in spring next year, sort out the bugs by summer and ready to go on time by Autumn / Year End... but, this is new ground, no driver in the vehicle, so you might want to get things going a bit earlier so you can stick to your timetable, make a nice news story just before year end holidays"
422,2022-07-14T16:20:35Z,4,[51.0],[0.0],
104904,2022-07-14T02:17:27Z,2,[65.0],[0.0],
1333,2022-06-18T15:44:41Z,81,[100.0],[13.0],
106093,2022-06-17T20:40:54Z,1,[0.0],[0.0],
86367,2022-06-17T16:10:45Z,6,[14.0],[-23.0],
1333,2022-06-17T14:03:50Z,80,[87.0],[1.0],
1333,2022-06-16T05:51:26Z,79,[86.0],[1.0],
1333,2022-06-09T15:06:58Z,78,[85.0],[1.0],
1333,2022-06-06T16:32:53Z,77,[84.0],[1.0],
29054,2022-06-03T15:22:33Z,2,[28.0],[-47.0],"It seems that some more testing is getting done, and the probability to a full media launch is to be set in mid to late 2023, so before Jan 2023 is remote at this point, their optimism seems to be a little more constrain now."
1333,2022-06-01T13:50:44Z,76,[83.0],[1.0],
1333,2022-05-25T11:37:46Z,75,[82.0],[1.0],
1333,2022-05-24T18:09:24Z,74,[81.0],[1.0],
1333,2022-05-23T20:44:19Z,73,[80.0],[1.0],
1333,2022-05-20T15:38:15Z,72,[79.0],[1.0],
1333,2022-05-19T07:07:14Z,71,[78.0],[1.0],
1333,2022-05-16T18:55:22Z,70,[77.0],[1.0],
1333,2022-05-10T00:30:24Z,69,[76.0],[1.0],
1333,2022-05-07T13:24:55Z,68,[75.0],[1.0],
1333,2022-05-06T14:59:06Z,67,[74.0],[-1.0],
1333,2022-05-04T14:00:04Z,66,[75.0],[1.0],
1333,2022-05-01T19:06:16Z,65,[74.0],[1.0],
1333,2022-04-23T18:41:55Z,64,[73.0],[1.0],
1333,2022-04-21T08:11:57Z,63,[72.0],[1.0],
1333,2022-04-18T17:17:08Z,62,[71.0],[1.0],
1333,2022-04-17T15:57:27Z,61,[70.0],[1.0],
62808,2022-04-16T22:15:12Z,4,[60.0],[-10.0],
62808,2022-04-16T21:50:58Z,3,[70.0],[55.0],https://www.thenationalnews.com/uae/transport/2022/03/31/these-driverless-taxis-will-be-on-dubai-roads-by-2023/
62808,2022-04-16T21:31:46Z,2,[15.0],[0.0],
1333,2022-04-16T14:08:27Z,60,[69.0],[1.0],
1333,2022-04-16T13:48:10Z,59,[68.0],[1.0],
1333,2022-04-14T10:24:25Z,58,[67.0],[1.0],
1333,2022-04-07T14:22:34Z,57,[66.0],[1.0],
1333,2022-04-06T15:33:58Z,56,[65.0],[1.0],
1333,2022-04-05T16:47:11Z,55,[64.0],[1.0],
1333,2022-04-04T17:47:50Z,54,[63.0],[1.0],
1333,2022-04-03T10:46:30Z,53,[62.0],[1.0],
1333,2022-04-01T19:00:22Z,52,[61.0],[1.0],
13551,2022-03-25T19:15:29Z,2,[100.0],[0.0],
101187,2022-03-24T13:52:16Z,5,[55.0],[-5.0],
1333,2022-03-23T03:55:43Z,51,[60.0],[1.0],
1333,2022-03-18T14:50:49Z,50,[59.0],[1.0],
1333,2022-03-18T00:52:47Z,49,[58.0],[1.0],
86367,2022-03-18T00:12:24Z,5,[37.0],[-4.0],
1333,2022-03-16T15:17:52Z,48,[57.0],[1.0],
1333,2022-03-16T07:34:40Z,47,[56.0],[35.0],
1333,2022-03-15T13:55:22Z,46,[21.0],[1.0],
422,2022-03-14T19:11:08Z,3,[51.0],[-42.0],
1333,2022-03-13T07:40:29Z,45,[20.0],[11.0],
1333,2022-03-13T07:40:17Z,44,[9.0],[-1.0],
1333,2022-03-12T17:20:06Z,43,[10.0],[6.0],
1333,2022-03-11T16:41:28Z,42,[4.0],[2.0],
105312,2022-03-11T02:46:37Z,1,[76.0],[76.0],"If there were Emirati volunteers audacious enough to be vaccine testers, I'm sure between Emiratis and foreign residents there will be more than enough interest (pressure) to pilot autonomous taxis. Undoubtedly, the test zone would be limited to a geographic zone with conducive conditions."
1333,2022-03-10T16:35:50Z,41,[2.0],[1.0],
1333,2022-03-08T15:12:05Z,40,[1.0],[1.0],
1333,2022-03-07T11:23:18Z,39,[0.0],[-62.0],
1333,2022-03-04T14:31:40Z,38,[62.0],[1.0],
691,2022-03-02T15:45:49Z,9,[66.0],[-2.0],
1333,2022-02-28T15:07:22Z,37,[61.0],[1.0],
1333,2022-02-26T15:32:41Z,36,[60.0],[1.0],
1333,2022-02-22T13:51:05Z,35,[59.0],[1.0],
1333,2022-02-22T06:46:32Z,34,[58.0],[1.0],
1333,2022-02-21T19:27:08Z,33,[57.0],[1.0],
1333,2022-02-20T10:34:14Z,32,[56.0],[1.0],
86367,2022-02-19T11:22:56Z,4,[41.0],[-6.0],
25601,2022-02-16T19:23:31Z,1,[66.0],[66.0],Go with the flow.
1333,2022-02-16T09:20:27Z,31,[55.0],[1.0],
1333,2022-02-14T10:45:15Z,30,[54.0],[1.0],
104904,2022-02-14T04:44:38Z,1,[65.0],[65.0],
1333,2022-02-13T12:30:25Z,29,[53.0],[1.0],
1333,2022-02-13T02:36:17Z,28,[52.0],[-1.0],
1333,2022-02-13T02:34:35Z,27,[53.0],[-1.0],
101187,2022-02-12T21:50:17Z,4,[60.0],[-5.0],
1333,2022-02-11T10:35:32Z,26,[54.0],[-1.0],
1333,2022-02-10T17:51:05Z,25,[55.0],[-1.0],
104235,2022-02-08T18:54:41Z,1,[100.0],[100.0],
1333,2022-02-07T17:25:37Z,24,[56.0],[-1.0],
104579,2022-02-02T19:03:38Z,1,[80.0],[80.0],
62808,2022-01-29T23:04:18Z,1,[15.0],[15.0],
1333,2022-01-24T10:50:35Z,23,[57.0],[-1.0],
1333,2022-01-21T17:19:28Z,22,[58.0],[-1.0],
1333,2022-01-21T10:22:40Z,21,[59.0],[-1.0],
691,2022-01-20T22:24:53Z,8,[68.0],[4.0],
1333,2022-01-20T18:03:17Z,20,[60.0],[-1.0],
1333,2022-01-19T22:10:44Z,19,[61.0],[-10.0],
1333,2022-01-19T19:56:31Z,18,[71.0],[-1.0],
1333,2022-01-18T14:38:41Z,17,[72.0],[1.0],
103878,2022-01-14T10:33:01Z,3,[64.0],[4.0],
101187,2022-01-13T00:26:58Z,3,[65.0],[-5.0],
1333,2022-01-11T21:45:04Z,16,[71.0],[1.0],
1333,2022-01-11T09:25:00Z,15,[70.0],[1.0],
1333,2022-01-09T16:43:10Z,14,[69.0],[1.0],
103629,2022-01-07T22:40:59Z,1,[100.0],[100.0],
1333,2022-01-06T14:48:19Z,13,[68.0],[1.0],
1333,2022-01-05T23:07:12Z,12,[67.0],[1.0],
104043,2022-01-04T16:34:42Z,1,[65.0],[65.0],
103878,2022-01-04T13:19:27Z,2,[60.0],[5.0],
83135,2022-01-03T16:46:16Z,1,[64.0],[64.0],
29054,2022-01-02T16:27:41Z,1,[75.0],[75.0],
103878,2022-01-01T16:25:35Z,1,[55.0],[55.0],
103223,2021-12-30T05:08:52Z,1,[20.0],[20.0],Possibly because it's a small area and a 'flashy statement to make. But autonomous vehicles have a long way to go before they are practical.
50981,2021-12-29T19:35:24Z,1,[23.0],[23.0],
103732,2021-12-29T19:15:20Z,1,[80.0],[80.0],
86367,2021-12-27T08:31:26Z,3,[47.0],[-4.0],
1333,2021-12-27T08:10:11Z,11,[66.0],[-1.0],
1333,2021-12-17T08:35:36Z,10,[67.0],[1.0],
66854,2021-12-17T02:51:17Z,1,[50.0],[50.0],
1333,2021-12-15T09:25:56Z,9,[66.0],[2.0],
691,2021-12-12T17:51:18Z,7,[64.0],[2.0],
101187,2021-12-12T09:11:46Z,2,[70.0],[-5.0],
103469,2021-12-06T19:58:08Z,1,[65.0],[65.0],
103544,2021-12-06T16:16:31Z,1,[74.0],[74.0],
691,2021-12-04T16:38:19Z,6,[62.0],[-2.0],
1333,2021-11-30T21:54:31Z,8,[64.0],[-1.0],
103410,2021-11-30T06:12:26Z,1,[60.0],[60.0],
691,2021-11-28T16:27:25Z,5,[64.0],[-6.0],
103384,2021-11-28T02:45:05Z,1,[5.0],[5.0],
48234,2021-11-24T14:13:35Z,2,[40.0],[20.0],
101187,2021-11-12T11:52:31Z,1,[75.0],[75.0],
691,2021-11-10T19:22:14Z,4,[70.0],[-4.0],
75518,2021-11-08T21:08:20Z,1,[35.0],[35.0],"The infrastructure in dubai is quite decent. Teslas fsb is quite advanced and capable so if they wanted to pull this off they could. However, the question is whether dubai wants to use teslas. And whether tesla wants to invest into building autonomous taxi cababilties right now. Something else that speaks to this is that elon has gone out and said they have calculated the value of such a business, and that between 2022 and 2023 they are going to buy back a lot of model 3 where the leasing has expired."
86367,2021-11-04T00:53:04Z,2,[51.0],[16.0],
52005,2021-10-31T13:33:31Z,1,[90.0],[90.0],
84956,2021-10-30T22:17:34Z,1,[81.0],[81.0],
35274,2021-10-29T20:36:49Z,1,[9.0],[9.0],"I still think it's too early with technology and infrastructure in Dubai not being ready. At least not ready to a point where they'll risk it. Maybe later in 2023, and maybe because of the remote back up option."
14585,2021-10-29T07:40:19Z,1,[20.0],[20.0],
422,2021-10-29T00:07:35Z,2,[93.0],[48.0],
422,2021-10-29T00:07:30Z,1,[45.0],[45.0],
78403,2021-10-28T21:06:49Z,1,[25.0],[25.0],
1333,2021-10-26T08:34:09Z,7,[65.0],[1.0],
102518,2021-10-24T13:07:38Z,1,[70.0],[70.0],
103026,2021-10-21T17:14:11Z,1,[16.0],[16.0],
1333,2021-10-16T06:38:40Z,6,[64.0],[0.0],
1333,2021-10-15T04:27:43Z,5,[64.0],[1.0],
102960,2021-10-13T20:59:02Z,1,[60.0],[60.0],
691,2021-10-13T19:08:53Z,3,[74.0],[23.0],
85474,2021-10-12T13:57:28Z,1,[90.0],[90.0],"This is a subject matter that I have been following closely for sometime. I think autonomous ride-hailing services will not only open in Dubai by Jan 1st, 2023, I think this will happen well before 2023. Dubai is the ideal place for autonomous vehicles to launch and be tested because certain ""variables"" are minimal in the country. Dubai is not known for severe weather conditions such as tornadoes, hurricanes, snow fall, or torrential rain. While some companies think these conditions would be ideal for weeding out the systems of kinks, I think companies need to start in a controlled environment, like Dubai and progress to regions with more variables. The most challenging condition for equipment in Dubai would be sandstorms and if vehicles can sustain this condition, then it would most likely do well other areas. In America the ideal area for testing autonomous vehicles was/is Arizona and yet, someone died. An area that is more ideal and less likely to have a fatality would be Dubai. I think companies should start in Dubai and branch out from that region. Not only autonomous vehicles for ride-hailing but also autonomous trucking would be ideal in Dubai."
34815,2021-10-09T03:33:58Z,1,[100.0],[100.0],
87571,2021-10-08T12:49:21Z,1,[92.0],[92.0],"It will be tested on public roads, of course. But it will be deemed not fit for launching yet."
100701,2021-10-07T19:34:22Z,1,[81.0],[81.0],"What the Prince wants the Prince will get. The bar for a ""yes"" is very low."
26642,2021-10-07T11:45:34Z,1,[65.0],[65.0],
59881,2021-10-07T09:11:30Z,1,[100.0],[100.0],
67635,2021-10-06T21:42:59Z,1,[100.0],[100.0],
48234,2021-10-06T20:37:54Z,1,[20.0],[20.0],"I would say 0% chance, but again there is a risk of a „publicity stunt”, which might pass the mark. I noticed that there is a lot of noise with a limited amount of substance around such futuristic initiatives here."
14208,2021-10-06T09:25:38Z,1,[0.0],[0.0],only if da cat can were a sheet it almos hawl at da muun
97375,2021-10-06T08:49:51Z,1,[22.0],[22.0],
102808,2021-10-05T19:19:51Z,1,[95.0],[95.0],
27743,2021-10-05T01:38:29Z,1,[33.0],[33.0],1 in 3 chances of launching it for testing purposes only. Not open to public.
11260,2021-10-04T18:25:44Z,1,[100.0],[100.0],The commitment to smart transportation is at several levels of community and government. There are a growing number of tests and new manufacturers. This will happen.
102820,2021-10-04T14:16:34Z,2,[50.0],[14.0],"Dubai's plan also aims to convert 5% of the taxi fleet to autonomous vehicles by 2023 (https://www.khaleejtimes.com/news/transport/5-of-dubai-taxis-fleet-to-be-self-driving-cabs-by-2023), so they have to start testing to the public before the beginning of the year in order to meet this target"
102820,2021-10-04T14:10:51Z,1,[36.0],[36.0],Background: Cruise raised billions of dollars and is backed by General Motors and Microsoft. Dubai is considered by KPMG among the countries most prepared for autonomous vehicles (https://assets.kpmg/content/dam/kpmg/uk/pdf/2020/07/2020-autonomous-vehicles-readiness-index.pdf) and the industry is growing fast.
100664,2021-10-04T09:17:04Z,1,[20.0],[20.0],
1333,2021-10-03T18:44:00Z,4,[63.0],[0.0],
101422,2021-10-03T18:37:59Z,1,[25.0],[25.0],
102516,2021-10-03T17:38:14Z,1,[30.0],[30.0],
691,2021-10-03T14:02:58Z,2,[51.0],[3.0],
45594,2021-10-03T07:57:12Z,1,[70.0],[70.0],
93028,2021-10-03T07:30:03Z,1,[100.0],[100.0],
86367,2021-10-03T05:25:10Z,1,[35.0],[35.0],"Cruise has been granted permit to operate a driverless robotaxi service in California just 2 days ago. However i couldnt find any regulations formulated by the Dubai RTA for self driving yet, and there will be challenges relating to differences in weather, traffic guidelines, general differences in driving patterns etc. So testing will entail reconciling for these differences and perhaps there will be some tweaks needed to the software to account for these. The initial stage of testing will involve drivers for these vehicles, i presume its fair to say that it wont just be a case of a simple "" plug and play"" of what works in US. So starting off at 35%. https://www.theverge.com/2021/9/30/22702962/cruise-waymo-california-dmv-autonomous-vehicle-permit https://www.rta.ae/links/sdt/sdt-final.pdf"
13551,2021-10-03T03:43:21Z,1,[100.0],[100.0],
16740,2021-10-03T01:07:15Z,1,[55.0],[55.0],
691,2021-10-02T19:16:55Z,1,[48.0],[48.0],
1333,2021-10-02T05:30:45Z,3,[63.0],[1.0],
92079,2021-10-02T04:04:06Z,1,[100.0],[100.0],
102768,2021-10-01T21:40:31Z,1,[61.0],[61.0],
88452,2021-10-01T21:35:40Z,1,[100.0],[100.0],
1333,2021-10-01T19:27:47Z,2,[62.0],[10.0],
60695,2021-10-01T18:10:45Z,1,[60.0],[60.0],
1333,2021-10-01T17:28:51Z,1,[52.0],[52.0],
79508,2021-10-01T17:16:04Z,1,[43.0],[43.0],
