Will the government of Colombia and the FARC renegotiate a peace agreement before 1 March 2017?,2016-11-08T18:00:52Z,2016-11-13T18:00:42Z,Yes,"['Yes', 'No']",['Security and Conflict'],120,654,70,237,"This question was closed with the correct answer 'Yes' with an end date of 13 November 2016. The government of Columbia and the FARC reached an agreement on a new peace deal on 13 November 2016 (BBC, CNN, NPR). See our FAQ to learn about how we resolve questions and how scores are calculated",https://www.gjopen.com/questions/345-will-the-government-of-colombia-and-the-farc-renegotiate-a-peace-agreement-before-1-march-2017
1333,2016-11-16T15:59:21Z,3,[96.0],[1.0],"...incorporating several suggestions from Mr. Santos’s critics, was reached after marathon negotiating sessions in Havana. It is unclear whether the government intends to hold a new plebiscite or simply have Congress approve the agreement. http://www.nytimes.com/2016/11/15/opinion/colombias-revised-peace-accord.html?emc=edit_ee_20161115&nl=todaysheadlines-europe&nlid=70183565&_r=0"
19801,2016-11-13T05:50:52Z,2,[100.0],[60.0],"Colombia, rebels agree revised peace deal to end 52-year war http://uk.reuters.com/article/uk-colombia-peace-idUKKBN1370PZ"
10759,2016-11-13T05:20:57Z,4,[100.0],[60.0],
4634,2016-11-13T05:20:17Z,4,[100.0],[60.0],http://edition.cnn.com/2016/11/12/world/colombia-farc-peace/
23006,2016-11-13T02:39:50Z,5,[55.0],[4.0],
23006,2016-11-13T02:37:30Z,4,[51.0],[2.0],
29497,2016-11-13T00:58:12Z,1,[5.0],[5.0],
23006,2016-11-12T22:26:11Z,3,[49.0],[-2.0],As per https://www.gjopen.com/comments/comments/379849
23006,2016-11-12T22:23:57Z,2,[51.0],[51.0],
368,2016-11-12T21:46:01Z,5,[10.0],[-25.0],
25997,2016-11-12T21:29:40Z,1,[37.0],[37.0],
691,2016-11-12T19:29:20Z,4,[92.0],[82.0],
30045,2016-11-12T18:05:49Z,2,[87.0],[12.0],
30045,2016-11-12T18:04:44Z,1,[75.0],[75.0],
1646,2016-11-12T17:44:34Z,2,[90.0],[13.0],"News that the new agreement is 90% completed. This afternoon an announcement is expected. That the document will be ready before O leaves office, it is part of his legacy and T will support, but T's politics towards Cuba and foreign aid may cause unwanted delays. Uribe is also announcing his support."
30194,2016-11-12T14:08:06Z,1,[24.0],[24.0],trying out the service
1034,2016-11-12T10:54:15Z,4,[0.0],[0.0],
12137,2016-11-12T00:46:12Z,1,[35.0],[35.0],Outside view:
30182,2016-11-11T20:48:53Z,1,[20.0],[20.0],
4273,2016-11-11T20:18:54Z,2,[60.0],[-5.0],
29860,2016-11-11T19:46:57Z,1,[50.0],[50.0],
368,2016-11-11T19:45:03Z,4,[35.0],[0.0],
10039,2016-11-11T19:31:19Z,1,[40.0],[40.0],
20156,2016-11-11T17:39:29Z,1,[60.0],[60.0],Based on:
4729,2016-11-11T16:51:01Z,1,[20.0],[20.0],
691,2016-11-11T16:11:12Z,3,[10.0],[2.0],
30175,2016-11-11T14:22:44Z,1,[20.0],[20.0],
18762,2016-11-11T14:08:21Z,1,[60.0],[60.0],"given what the ""no"" camp wants (or the reasons why they voted no) it is hard to see Farc accepting the ""no"" camp terms. however, the question doesn't require ratification just agreement, so the government can agree to anything to resolve this question as ""yes""."
740,2016-11-11T13:09:11Z,1,[69.0],[69.0],
30173,2016-11-11T12:26:48Z,1,[60.0],[60.0],
1034,2016-11-11T12:19:33Z,3,[0.0],[0.0],
30026,2016-11-11T07:50:37Z,2,[22.0],[-8.0],
30026,2016-11-11T07:46:12Z,1,[30.0],[30.0],
10759,2016-11-11T05:36:15Z,3,[40.0],[-20.0],
4634,2016-11-11T05:36:04Z,3,[40.0],[-20.0],
19801,2016-11-11T04:04:32Z,1,[40.0],[40.0],"The Depth and Solution of the Political Crisis in Colombia October 21, 2016"
29776,2016-11-10T19:54:42Z,1,[10.0],[10.0],
368,2016-11-10T19:40:40Z,3,[35.0],[-50.0],
4273,2016-11-10T19:40:20Z,1,[65.0],[65.0],
13844,2016-11-10T18:53:14Z,1,[15.0],[15.0],"The political force opposing the previous agreement is very powerful. They managed to get people to vote against a reasonable peace agreement, one that was accepted as fair by a large portion of the international community. The agreement that is sought by these opposing political forces involves renegotiating the biggest issue around it and it is the return of stolen property and land. These forces represent some of the sectors that benefit from the status quo so renegotiating this is not going to be simple. The probability of this happening at all, let alone before March 1st, 2017 is low."
29637,2016-11-10T18:49:55Z,1,[60.0],[60.0],"Make an agreement doesn't neccessary implies that agreement to be approved, Goverment needs to do it fast even with political opposition involved."
30002,2016-11-10T14:26:50Z,1,[25.0],[25.0],
6552,2016-11-10T13:02:33Z,1,[40.0],[40.0],
30152,2016-11-10T11:34:26Z,1,[65.0],[65.0],"Testing out how good my intuition is, haven't done any due diligence"
30148,2016-11-10T10:38:12Z,1,[5.0],[5.0],the 1 march 2017 is too early: Colombia's bureaucracy is too slow to change an important document in such a short time.
30146,2016-11-10T10:21:43Z,1,[5.0],[5.0],
1034,2016-11-10T08:40:47Z,2,[0.0],[0.0],
10759,2016-11-10T07:24:48Z,2,[60.0],[15.0],
4634,2016-11-10T07:24:42Z,2,[60.0],[15.0],
12824,2016-11-10T00:39:03Z,1,[5.0],[5.0],
368,2016-11-09T22:20:40Z,2,[85.0],[80.0],
29401,2016-11-09T18:27:02Z,1,[85.0],[85.0],"UN is monitoring the ceasefire http://colombiareports.com/un-resumes-colombia-ceasefire-verification-reduced-mandate/ and FARC forces have gone to agreed concentration points (one of Uribe's demands). Increased popular desire for peace according to Gallup http://colombiareports.com/colombias-political-parties-less-popular-farc-guerrillas-gallup/ which provides room for a negotiated settlement which meets some, if not all, of Uribe's demands."
20284,2016-11-09T17:04:06Z,1,[85.0],[85.0],This time around there will be an agreement because a consensus of the major political parties will be sought out and they will have a stake in the outcome. This could have happened last month if the government would have shared the decision and the good will to follow from ending the conflict with the opposition party.
28091,2016-11-09T16:35:13Z,1,[70.0],[70.0],Both the FARC and Santos government want this to happen. The election had a small turnout and a tiny margin of defeat. If they can make some small changes to the agreement they may have a good chance of succeeding. The truth commission may help but opposition Uribe and the Central Democratic Party could hurt.
28414,2016-11-09T15:36:53Z,2,[5.0],[5.0],
1646,2016-11-09T15:25:23Z,1,[77.0],[77.0],"There is a lot of common ground already achieved, although recently, tensions surfaced but been overcome (in Spanish): http://generacionpaz.co/content/pese-tensiones-en-la-habana-el-nuevo-acuerdo-sigue-adelante"
691,2016-11-09T15:06:09Z,2,[8.0],[-10.0],
1050,2016-11-09T12:43:53Z,1,[5.0],[5.0],
28414,2016-11-09T11:23:56Z,1,[0.0],[0.0],
1034,2016-11-09T09:45:22Z,1,[0.0],[0.0],Colombians vote against historic peace agreement with FARC rebels
10759,2016-11-09T01:36:19Z,1,[45.0],[45.0],
4634,2016-11-09T01:36:14Z,1,[45.0],[45.0],
1333,2016-11-08T22:28:57Z,1,[0.0],[0.0],The amnesty and light provisions for restitution soured the public on this deal and unless there is a way to re-write the offer to include no or reduced prison terms for FARC Leadership I don't see the FARC Accepting the next iteration of the peace plan by then. For an indicator or flag on progress i look for new legislation that codifies protections for the Rebels.
368,2016-11-08T21:42:28Z,1,[5.0],[5.0],
30106,2016-11-08T21:38:29Z,1,[15.0],[15.0],No real need to renegociate.
22243,2016-11-08T20:41:02Z,1,[60.0],[60.0],
11351,2016-11-08T20:11:00Z,1,[25.0],[25.0],There is no likely compromise by FARC in the matter of amnesty and the government of Columbia will be unable to convince the voters FARC should be unaccountable for the crimes committed against them for decades.
691,2016-11-08T19:12:42Z,1,[18.0],[18.0],"Pretty tight deadline for this, in the circumstances. I'd bump it up a lot more if it were, say, July."
12879,2016-11-08T18:55:07Z,1,[30.0],[30.0],"I am currently predicting a SuperForecasting ""Probably Not"" going to happen based on the apparent Columbian people wish not wanting a peace agreement to happen.🤔👍🏻"
23006,2016-11-08T18:42:56Z,1,[0.0],[0.0],"Rebels are losing interest in doing this, and government is unlikely to see it passed by populace if they give even more concessions"
16272,2016-11-08T18:26:59Z,1,[75.0],[75.0],
21122,2016-11-08T18:15:15Z,2,[85.0],[5.0],
21122,2016-11-08T18:14:11Z,1,[80.0],[80.0],
3363,2016-11-08T18:11:36Z,1,[85.0],[85.0],
