Will Iraq's parliament elect a new President of the Republic before 6 November 2022?,2022-08-05T17:00:00Z,2022-10-13T17:30:07Z,Yes,"['Yes', 'No']","['Leader Entry/Exit', 'Elections and Referenda', 'Non-US Politics']",83,654,28,237,,https://www.gjopen.com/questions/2505-will-iraq-s-parliament-elect-a-new-president-of-the-republic-before-6-november-2022
86607,2022-10-14T21:03:48Z,7,[100.0],[98.0],Woops. Maybe biggest forecasting miss I've yet made
86607,2022-09-06T14:18:22Z,5,[5.0],[-5.0],
1333,2022-09-06T13:49:54Z,10,[3.0],[-1.0],
106690,2022-09-06T12:24:22Z,1,[10.0],[10.0],
1333,2022-09-04T10:48:02Z,9,[4.0],[1.0],
1624,2022-09-03T02:25:34Z,4,[1.0],[-1.0],
1333,2022-09-02T16:03:47Z,8,[3.0],[1.0],
86607,2022-09-02T13:15:32Z,4,[10.0],[8.0],
1333,2022-09-01T12:33:11Z,7,[2.0],[2.0],
96828,2022-09-01T00:07:54Z,6,[34.0],[10.0]
96828,2022-08-31T23:07:06Z,5,[24.0],[-1.0],
102121,2022-08-31T22:20:18Z,3,[0.0],[-5.0],https://www.bbc.co.uk/news/world-middle-east-62719497
1333,2022-08-30T17:55:12Z,6,[0.0],[-6.0],
96828,2022-08-30T01:25:59Z,4,[25.0],[5.0],
96828,2022-08-30T01:25:48Z,3,[20.0],[2.0],
86607,2022-08-29T22:47:00Z,3,[2.0],[-13.0],Ok seems like protesters are agitating for a new election. It's hard to see that being parlayed into a consensus presidential appointment
86607,2022-08-29T22:21:11Z,2,[15.0],[11.0],"I have a very poor read on the situation, Iraqi Constitutional law, and how this question would resolve in different scenarios, so increasing my uncertainty"
107182,2022-08-29T14:16:59Z,2,[0.0],[-1.0],
102737,2022-08-29T12:43:46Z,3,[2.0],[-5.0],"Things are not moving in a positive direction, and the time window is getting shorter."
691,2022-08-28T15:26:52Z,3,[9.0],[2.0],
37555,2022-08-27T15:55:31Z,1,[0.0],[0.0],
107182,2022-08-26T13:17:23Z,1,[1.0],[1.0],
102121,2022-08-25T15:06:18Z,2,[5.0],[5.0],
1333,2022-08-24T16:57:47Z,5,[6.0],[-1.0],
1333,2022-08-24T01:37:09Z,4,[7.0],[-1.0],
1333,2022-08-23T13:11:43Z,3,[8.0],[-1.0],
1624,2022-08-20T00:36:12Z,3,[2.0],[0.0],
691,2022-08-17T14:58:44Z,2,[7.0],[-1.0],
88452,2022-08-16T17:34:25Z,2,[75.0],[0.0],https://www.aljazeera.com/news/2022/8/14/iraqi-judiciary-says-it-has-no-powers-to-dissolve-parliament
1624,2022-08-13T00:31:45Z,2,[2.0],[-1.0],
67500,2022-08-11T17:06:17Z,1,[5.0],[5.0],Parliament could be dissolved (https://www.al-monitor.com/originals/2022/08/iraqs-sadr-sets-deadline-dissolve-parliament) which would lead to elections and then the election of a President. Looks highly unlikely all that will occur in less than 3 months.
83393,2022-08-10T23:43:46Z,1,[20.0],[20.0],
86607,2022-08-10T22:40:53Z,1,[4.0],[4.0]
102737,2022-08-10T12:51:21Z,2,[7.0],[-14.0],
106757,2022-08-10T10:52:36Z,1,[0.0],[0.0],
96828,2022-08-10T02:12:44Z,2,[18.0],[3.0],
37236,2022-08-09T15:23:26Z,1,[0.0],[0.0],I don't think I'm right. I don't know that I'm right. But I feel that I am right.
34815,2022-08-09T02:51:03Z,1,[0.0],[0.0],
9263,2022-08-08T20:23:47Z,1,[100.0],[100.0],
8826,2022-08-08T18:04:18Z,1,[1.0],[1.0],
1333,2022-08-08T16:48:39Z,2,[9.0],[-1.0],
691,2022-08-08T13:40:50Z,1,[8.0],[8.0],
96828,2022-08-08T01:41:55Z,1,[15.0],[15.0],
45594,2022-08-07T08:40:07Z,1,[10.0],[10.0],
92079,2022-08-07T01:01:45Z,1,[0.0],[0.0],
1624,2022-08-06T00:23:47Z,1,[3.0],[3.0],
102121,2022-08-05T20:46:52Z,1,[0.0],[0.0],The current crisis has been going on for months now and there is no clear way out. A snap election might help (https://www.wionews.com/world/dissolve-the-parliament-influential-shiite-leader-moqtada-sadr-calls-for-fresh-elections-in-iraq-503371) but there are a few barriers.
94737,2022-08-05T20:40:48Z,1,[100.0],[100.0],
102737,2022-08-05T19:25:25Z,1,[21.0],[21.0],"Initial, highly subjective forecast."
1333,2022-08-05T17:41:51Z,1,[10.0],[10.0],
60695,2022-08-05T17:29:33Z,1,[100.0],[100.0],
88452,2022-08-05T17:11:07Z,1,[75.0],[75.0],
