"What will be the percentage increase in the producer price index (PPI) for ""Self-Service Storage and Miniwarehouses"" for December 2022 as compared to December 2021?",2022-03-30T21:00:00Z,2023-01-01T08:01:00Z,"Between 12.0% and 15.0%, inclusive","['Less than 5.0%', 'Between 5.0% and 8.0%, inclusive', 'More than 8.0% but less than 12.0%', 'Between 12.0% and 15.0%, inclusive', 'More than 15.0%']","['Business', 'Economic Indicators']",229,654,40,237,,https://www.gjopen.com/questions/2330-what-will-be-the-percentage-increase-in-the-producer-price-index-ppi-for-self-service-storage-and-miniwarehouses-for-december-2022-as-compared-to-december-2021
105312,2022-12-31T21:14:37Z,2,"[0.0, 10.0, 50.0, 40.0, 0.0]","[0.0, 10.0, 36.0, -43.0, -3.0]"
49937,2022-12-05T05:54:12Z,13,"[0.0, 0.0, 1.0, 15.0, 84.0]","[0.0, 0.0, -3.0, -5.0, 8.0]"
96828,2022-12-04T13:51:02Z,25,"[0.0, 1.0, 14.0, 21.0, 64.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",
691,2022-12-04T02:08:38Z,17,"[0.0, 8.0, 10.0, 48.0, 34.0]","[0.0, 8.0, -10.0, 0.0, 2.0]",
84880,2022-12-03T00:04:17Z,4,"[0.0, 1.0, 15.0, 45.0, 39.0]","[0.0, 0.0, -38.0, 0.0, 38.0]",
14208,2022-11-30T16:49:42Z,2,"[100.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 0.0, -100.0, 0.0, 0.0]",
88452,2022-11-30T08:24:49Z,6,"[0.0, 1.0, 3.0, 70.0, 26.0]","[0.0, -4.0, -5.0, 3.0, 6.0]",.
49937,2022-11-30T05:00:11Z,12,"[0.0, 0.0, 4.0, 20.0, 76.0]","[0.0, 0.0, -24.0, -48.0, 72.0]","Oct at 170.5, a growth of 1.5 since Sep, so the growth is slowing, but the index hasn't yet paused. At this point growth of even .25 per month would push us over into the 15% bin, so going much heavier on that unless I see a pause or reversal in Oct or Nov"
102675,2022-11-29T00:30:51Z,6,"[0.0, 0.0, 26.0, 55.0, 19.0]","[0.0, 0.0, 12.0, 0.0, -12.0]",
691,2022-11-24T17:11:54Z,16,"[0.0, 0.0, 20.0, 48.0, 32.0]","[0.0, 0.0, 0.0, 3.0, -3.0]",
96828,2022-11-23T09:32:27Z,24,"[0.0, 1.0, 14.0, 21.0, 64.0]","[0.0, 0.0, 9.0, 2.0, -11.0]",
102675,2022-11-22T01:07:59Z,5,"[0.0, 0.0, 14.0, 55.0, 31.0]","[-1.0, -1.0, -12.0, 0.0, 14.0]",
691,2022-11-21T21:50:21Z,15,"[0.0, 0.0, 20.0, 45.0, 35.0]","[0.0, 0.0, -15.0, 0.0, 15.0]",
107718,2022-11-20T21:01:37Z,3,"[0.0, 0.0, 10.0, 50.0, 40.0]","[0.0, 0.0, -20.0, 0.0, 20.0]",
99993,2022-11-19T15:54:22Z,5,"[0.0, 0.0, 1.0, 37.0, 62.0]","[-1.0, -6.0, -60.0, 8.0, 59.0]",
103258,2022-11-17T17:29:57Z,10,"[1.0, 0.0, 4.0, 65.0, 30.0]","[0.0, -3.0, -24.0, 7.0, 20.0]",
14603,2022-11-17T08:48:00Z,17,"[0.0, 0.0, 0.0, 15.0, 85.0]","[0.0, 0.0, 0.0, -55.0, 55.0]",
56974,2022-11-16T13:32:14Z,3,"[0.0, 0.0, 50.0, 50.0, 0.0]","[0.0, -10.0, 0.0, 10.0, 0.0]",
14603,2022-11-16T08:26:19Z,16,"[0.0, 0.0, 0.0, 70.0, 30.0]","[0.0, 0.0, 0.0, 30.0, -30.0]",
94872,2022-11-16T05:36:17Z,17,"[0.0, 0.0, 0.0, 40.0, 60.0]","[0.0, 0.0, -10.0, 20.0, -10.0]",
67312,2022-11-15T22:56:50Z,9,"[0.0, 0.0, 0.0, 53.0, 47.0]","[0.0, 0.0, -1.0, 2.0, -1.0]",
49937,2022-11-12T17:52:56Z,11,"[0.0, 0.0, 28.0, 68.0, 4.0]","[0.0, 0.0, -11.0, 10.0, 1.0]",
14208,2022-11-12T17:12:21Z,1,"[0.0, 0.0, 100.0, 0.0, 0.0]","[0.0, 0.0, 100.0, 0.0, 0.0]",8.3
102675,2022-11-09T14:49:14Z,4,"[1.0, 1.0, 26.0, 55.0, 17.0]","[0.0, 0.0, -11.0, 0.0, 11.0]",
96828,2022-11-09T11:38:40Z,23,"[0.0, 1.0, 5.0, 19.0, 75.0]","[0.0, -1.0, 0.0, 0.0, 1.0]",
103258,2022-11-05T20:55:29Z,9,"[1.0, 3.0, 28.0, 58.0, 10.0]","[-1.0, -16.0, -13.0, 29.0, 1.0]",
96828,2022-11-05T14:47:18Z,22,"[0.0, 2.0, 5.0, 19.0, 74.0]","[0.0, 0.0, -1.0, -1.0, 2.0]",
96828,2022-11-05T14:46:56Z,21,"[0.0, 2.0, 6.0, 20.0, 72.0]","[-15.0, -8.0, -15.0, -5.0, 43.0]",
691,2022-11-04T11:22:11Z,14,"[0.0, 0.0, 35.0, 45.0, 20.0]","[0.0, 0.0, -5.0, 0.0, 5.0]",
104025,2022-10-25T13:33:03Z,4,"[0.0, 0.0, 0.0, 65.0, 35.0]","[0.0, 0.0, 0.0, 25.0, -25.0]",
104025,2022-10-25T13:29:55Z,3,"[0.0, 0.0, 0.0, 40.0, 60.0]","[0.0, 0.0, -70.0, 10.0, 60.0]",December was 148.946 - as of september - all months have seen an increase - september stats were 169.312 - an increase of 13.67% and the trend doesn't appear to be declining
107718,2022-10-23T19:41:59Z,2,"[0.0, 0.0, 30.0, 50.0, 20.0]","[0.0, 0.0, 0.0, -20.0, 20.0]",
691,2022-10-23T16:59:12Z,13,"[0.0, 0.0, 40.0, 45.0, 15.0]","[0.0, -3.0, 0.0, 0.0, 3.0]",
49937,2022-10-17T21:33:13Z,10,"[0.0, 0.0, 39.0, 58.0, 3.0]","[0.0, 0.0, -26.0, 26.0, 0.0]","Sep Data at 169 which is 13.4% over last Dec's figures. I think it could pause, but I'm not seeing a large reversal very likely - that would likely need inflation to halt and a recession to force consumers to cut spending."
691,2022-10-14T17:02:10Z,12,"[0.0, 3.0, 40.0, 45.0, 12.0]","[0.0, -5.0, 4.0, -3.0, 4.0]",
94872,2022-10-14T05:00:42Z,16,"[0.0, 0.0, 10.0, 20.0, 70.0]","[-1.0, -3.0, -10.0, -18.0, 32.0]",
34959,2022-10-13T15:15:48Z,9,"[0.0, 0.0, 6.0, 61.0, 33.0]","[0.0, -1.0, -9.0, 2.0, 8.0]",Current value (169.312) puts the number in bucket 4 and very close to the 15% cut off value of 171.288.
67312,2022-10-12T21:22:53Z,8,"[0.0, 0.0, 1.0, 51.0, 48.0]","[0.0, 0.0, -23.0, -17.0, 40.0]",
14603,2022-10-12T13:27:57Z,15,"[0.0, 0.0, 0.0, 40.0, 60.0]","[0.0, 0.0, 0.0, -10.0, 10.0]",
4531,2022-10-11T14:22:27Z,2,"[0.0, 2.0, 75.0, 22.0, 1.0]","[-24.0, -66.0, 68.0, 21.0, 1.0]",
49937,2022-10-10T20:17:46Z,9,"[0.0, 0.0, 65.0, 32.0, 3.0]","[0.0, -6.0, 6.0, 0.0, 0.0]","Holding my very bold stance that prices will flatten out and thus that we'll see a decrease in the rate of increase. We've been over 12% for a year and over 15% for six months, but I think that is about to change."
107718,2022-10-02T22:38:05Z,1,"[0.0, 0.0, 30.0, 70.0, 0.0]","[0.0, 0.0, 30.0, 70.0, 0.0]",
84880,2022-09-29T23:16:24Z,3,"[0.0, 1.0, 53.0, 45.0, 1.0]","[0.0, -8.0, -2.0, 10.0, 0.0]",
103258,2022-09-26T05:15:06Z,8,"[2.0, 19.0, 41.0, 29.0, 9.0]","[-1.0, -2.0, 0.0, 0.0, 3.0]",
25601,2022-09-25T09:26:08Z,1,"[0.0, 15.0, 70.0, 15.0, 0.0]","[0.0, 15.0, 70.0, 15.0, 0.0]",
102675,2022-09-24T18:06:11Z,3,"[1.0, 1.0, 37.0, 55.0, 6.0]","[0.0, 0.0, -11.0, 6.0, 5.0]",
34959,2022-09-20T15:31:12Z,8,"[0.0, 1.0, 15.0, 59.0, 25.0]","[0.0, -3.0, -8.0, 7.0, 4.0]","December number was 148.968, so the milestones are as follows;"
14603,2022-09-20T07:28:55Z,14,"[0.0, 0.0, 0.0, 50.0, 50.0]","[0.0, 0.0, 0.0, 10.0, -10.0]",
49937,2022-09-19T03:26:38Z,8,"[0.0, 6.0, 59.0, 32.0, 3.0]","[0.0, -20.0, 24.0, -3.0, -1.0]",Dec was 149
88452,2022-09-17T17:42:21Z,5,"[0.0, 5.0, 8.0, 67.0, 20.0]","[0.0, -15.0, 0.0, 11.0, 4.0]",
14603,2022-09-16T07:31:17Z,13,"[0.0, 0.0, 0.0, 40.0, 60.0]","[0.0, 0.0, -17.0, -10.0, 27.0]",
67312,2022-09-14T22:09:13Z,7,"[0.0, 0.0, 24.0, 68.0, 8.0]","[0.0, -1.0, -48.0, 42.0, 7.0]",
691,2022-09-14T19:23:28Z,11,"[0.0, 8.0, 36.0, 48.0, 8.0]","[0.0, 5.0, -9.0, -4.0, 8.0]",
94872,2022-09-14T14:34:39Z,15,"[1.0, 3.0, 20.0, 38.0, 38.0]","[0.0, 0.0, 0.0, 3.0, -3.0]",
94872,2022-09-14T14:32:43Z,14,"[1.0, 3.0, 20.0, 35.0, 41.0]","[0.0, -1.0, -5.0, -5.0, 11.0]",
4531,2022-09-11T16:31:46Z,1,"[24.0, 68.0, 7.0, 1.0, 0.0]","[24.0, 68.0, 7.0, 1.0, 0.0]",
34959,2022-09-11T15:29:23Z,7,"[0.0, 4.0, 23.0, 52.0, 21.0]","[0.0, -2.0, -28.0, 10.0, 20.0]",
96828,2022-09-08T16:02:50Z,20,"[15.0, 10.0, 21.0, 25.0, 29.0]","[0.0, 1.0, 5.0, 1.0, -7.0]",
96828,2022-09-08T15:58:45Z,19,"[15.0, 9.0, 16.0, 24.0, 36.0]","[-9.0, -16.0, -9.0, 6.0, 28.0]",
14603,2022-09-02T07:00:32Z,12,"[0.0, 0.0, 17.0, 50.0, 33.0]","[0.0, 0.0, -8.0, 0.0, 8.0]",
103258,2022-08-29T00:35:20Z,7,"[3.0, 21.0, 41.0, 29.0, 6.0]","[0.0, 0.0, -2.0, -4.0, 6.0]",
99993,2022-08-13T13:02:42Z,4,"[1.0, 6.0, 61.0, 29.0, 3.0]","[-3.0, -24.0, 5.0, 20.0, 2.0]",
94872,2022-08-13T01:45:53Z,13,"[1.0, 4.0, 25.0, 40.0, 30.0]","[-2.0, -7.0, -7.0, 1.0, 15.0]",
14603,2022-08-12T07:06:02Z,11,"[0.0, 0.0, 25.0, 50.0, 25.0]","[0.0, 0.0, -15.0, 5.0, 10.0]",
106897,2022-08-11T22:28:18Z,3,"[0.0, 18.0, 56.0, 26.0, 0.0]","[0.0, -2.0, -4.0, 6.0, 0.0]",
67312,2022-08-11T19:43:45Z,6,"[0.0, 1.0, 72.0, 26.0, 1.0]","[0.0, -9.0, -7.0, 15.0, 1.0]",
88452,2022-08-09T14:40:14Z,4,"[0.0, 20.0, 8.0, 56.0, 16.0]","[0.0, 20.0, 0.0, 0.0, -20.0]",
14603,2022-08-04T08:20:07Z,10,"[0.0, 0.0, 40.0, 45.0, 15.0]","[0.0, 0.0, 5.0, -10.0, 5.0]",
14603,2022-08-03T17:25:23Z,9,"[0.0, 0.0, 35.0, 55.0, 10.0]","[0.0, 0.0, 3.0, -1.0, -2.0]",
14603,2022-08-03T07:02:44Z,8,"[0.0, 0.0, 32.0, 56.0, 12.0]","[0.0, 0.0, 2.0, 1.0, -3.0]",
106897,2022-08-02T18:01:40Z,2,"[0.0, 20.0, 60.0, 20.0, 0.0]","[-3.0, -4.0, 3.0, 4.0, 0.0]",
34959,2022-08-01T05:50:58Z,6,"[0.0, 6.0, 51.0, 42.0, 1.0]","[0.0, 3.0, 0.0, -2.0, -1.0]",
94872,2022-07-31T02:48:32Z,12,"[3.0, 11.0, 32.0, 39.0, 15.0]","[-1.0, 1.0, -2.0, -3.0, 5.0]",I found some cool research that talks about self-storage. It can be accessed here (Page 7 when you download it):
106897,2022-07-26T05:45:42Z,1,"[3.0, 24.0, 57.0, 16.0, 0.0]","[3.0, 24.0, 57.0, 16.0, 0.0]",
34815,2022-07-22T02:49:58Z,4,"[0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, -100.0, 100.0, 0.0]",
691,2022-07-21T18:33:05Z,10,"[0.0, 3.0, 45.0, 52.0, 0.0]","[0.0, 1.0, 1.0, 0.0, -2.0]",
34959,2022-07-20T22:06:41Z,5,"[0.0, 3.0, 51.0, 44.0, 2.0]","[0.0, 0.0, 0.0, 3.0, -3.0]",
49937,2022-07-20T04:54:37Z,7,"[0.0, 26.0, 35.0, 35.0, 4.0]","[0.0, 23.0, 11.0, -30.0, -4.0]",Dec was 149
94872,2022-07-19T05:52:31Z,11,"[4.0, 10.0, 34.0, 42.0, 10.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",
99993,2022-07-17T21:01:11Z,3,"[4.0, 30.0, 56.0, 9.0, 1.0]","[-9.0, 2.0, 13.0, -4.0, -2.0]",
103258,2022-07-17T18:21:14Z,6,"[3.0, 21.0, 43.0, 33.0, 0.0]","[-1.0, -10.0, 0.0, 11.0, 0.0]",
691,2022-07-16T19:19:25Z,9,"[0.0, 2.0, 44.0, 52.0, 2.0]","[0.0, -4.0, -2.0, 7.0, -1.0]",
96828,2022-07-16T11:30:41Z,18,"[24.0, 25.0, 25.0, 18.0, 8.0]","[-2.0, -1.0, -1.0, 4.0, 0.0]",
96828,2022-07-16T11:29:36Z,17,"[26.0, 26.0, 26.0, 14.0, 8.0]","[21.0, 18.0, 7.0, -25.0, -21.0]",
34959,2022-07-15T13:54:26Z,4,"[0.0, 3.0, 51.0, 41.0, 5.0]","[0.0, -5.0, 0.0, 4.0, 1.0]",
14603,2022-07-15T07:46:42Z,7,"[0.0, 0.0, 30.0, 55.0, 15.0]","[0.0, 0.0, 15.0, 0.0, -15.0]",
94872,2022-07-15T02:54:38Z,10,"[4.0, 10.0, 34.0, 42.0, 10.0]","[0.0, 0.0, 9.0, 8.0, -17.0]",
67312,2022-07-14T22:27:26Z,5,"[0.0, 10.0, 79.0, 11.0, 0.0]","[0.0, 7.0, 13.0, -16.0, -4.0]",
96828,2022-07-13T03:42:29Z,16,"[5.0, 8.0, 19.0, 39.0, 29.0]","[-1.0, -1.0, 0.0, 1.0, 1.0]",
96828,2022-07-13T03:41:11Z,15,"[6.0, 9.0, 19.0, 38.0, 28.0]","[4.0, -5.0, -13.0, 1.0, 13.0]",
11430,2022-07-12T19:04:46Z,3,"[0.0, 0.0, 20.0, 80.0, 0.0]","[0.0, 0.0, -70.0, 70.0, 0.0]",
103258,2022-07-07T19:26:04Z,5,"[4.0, 31.0, 43.0, 22.0, 0.0]","[-1.0, 0.0, 0.0, 1.0, 0.0]",
94872,2022-07-04T01:14:18Z,9,"[4.0, 10.0, 25.0, 34.0, 27.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",Reaffirming forecast until new data come out
96828,2022-06-24T12:01:39Z,14,"[2.0, 14.0, 32.0, 37.0, 15.0]","[-6.0, -2.0, -8.0, 14.0, 2.0]",
49937,2022-06-24T03:20:47Z,6,"[0.0, 3.0, 24.0, 65.0, 8.0]","[0.0, 1.0, 11.0, -7.0, -5.0]",
49937,2022-06-24T03:19:49Z,5,"[0.0, 2.0, 13.0, 72.0, 13.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",Dec was 149
106579,2022-06-21T02:24:54Z,2,"[0.0, 0.0, 35.0, 50.0, 15.0]","[-25.0, -75.0, 35.0, 50.0, 15.0]",
96828,2022-06-20T11:35:02Z,13,"[8.0, 16.0, 40.0, 23.0, 13.0]","[3.0, 6.0, 14.0, -13.0, -10.0]",
103258,2022-06-16T19:15:26Z,4,"[5.0, 31.0, 43.0, 21.0, 0.0]","[-5.0, 2.0, 2.0, 1.0, 0.0]",
96828,2022-06-16T02:56:17Z,12,"[5.0, 10.0, 26.0, 36.0, 23.0]","[0.0, 5.0, -7.0, 2.0, 0.0]",
96828,2022-06-16T02:45:03Z,11,"[5.0, 5.0, 33.0, 34.0, 23.0]","[-3.0, 0.0, 0.0, 0.0, 3.0]",
96828,2022-06-16T02:42:21Z,10,"[8.0, 5.0, 33.0, 34.0, 20.0]","[-1.0, -9.0, 2.0, 3.0, 5.0]",
56974,2022-06-15T13:27:10Z,2,"[0.0, 10.0, 50.0, 40.0, 0.0]","[0.0, 0.0, -30.0, 30.0, 0.0]",
94872,2022-06-15T03:45:36Z,8,"[4.0, 10.0, 25.0, 34.0, 27.0]","[3.0, 5.0, 0.0, 0.0, -8.0]",
67312,2022-06-14T20:54:52Z,4,"[0.0, 3.0, 66.0, 27.0, 4.0]","[0.0, -1.0, -6.0, 5.0, 2.0]",
102675,2022-06-14T01:13:32Z,2,"[1.0, 1.0, 48.0, 49.0, 1.0]","[0.0, -8.0, -32.0, 40.0, 0.0]",
88452,2022-06-13T16:16:58Z,3,"[0.0, 0.0, 8.0, 56.0, 36.0]","[0.0, 0.0, 2.0, 10.0, -12.0]",
96828,2022-06-10T12:05:48Z,9,"[9.0, 14.0, 31.0, 31.0, 15.0]","[-1.0, -13.0, 0.0, 6.0, 8.0]",
691,2022-06-09T19:41:42Z,8,"[0.0, 6.0, 46.0, 45.0, 3.0]","[0.0, 4.0, -6.0, 2.0, 0.0]",
94872,2022-06-08T06:23:59Z,7,"[1.0, 5.0, 25.0, 34.0, 35.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",
88452,2022-06-07T17:38:23Z,2,"[0.0, 0.0, 6.0, 46.0, 48.0]","[0.0, 0.0, 2.0, 8.0, -10.0]",
106579,2022-06-05T21:57:36Z,1,"[25.0, 75.0, 0.0, 0.0, 0.0]","[25.0, 75.0, 0.0, 0.0, 0.0]",
49937,2022-06-05T05:12:22Z,4,"[0.0, 2.0, 13.0, 72.0, 13.0]","[-11.0, -4.0, -20.0, 44.0, -9.0]",Dec was 149
95191,2022-06-05T00:26:37Z,1,"[0.0, 100.0, 0.0, 0.0, 0.0]","[0.0, 100.0, 0.0, 0.0, 0.0]",
691,2022-06-04T23:48:16Z,7,"[0.0, 2.0, 52.0, 43.0, 3.0]","[0.0, -3.0, 9.0, 1.0, -7.0]",
84880,2022-06-04T20:45:22Z,2,"[0.0, 9.0, 55.0, 35.0, 1.0]","[-37.0, -30.0, 35.0, 32.0, 0.0]",
103878,2022-06-01T23:01:00Z,10,"[0.0, 6.0, 49.0, 37.0, 8.0]","[0.0, -1.0, 9.0, -4.0, -4.0]",
34959,2022-06-01T05:16:28Z,3,"[0.0, 8.0, 51.0, 37.0, 4.0]","[-1.0, -4.0, 4.0, 2.0, -1.0]",
691,2022-05-28T18:35:16Z,6,"[0.0, 5.0, 43.0, 42.0, 10.0]","[0.0, -7.0, 5.0, 2.0, 0.0]",
96828,2022-05-26T01:31:57Z,8,"[10.0, 27.0, 31.0, 25.0, 7.0]","[-6.0, -1.0, 8.0, 2.0, -3.0]",
89013,2022-05-25T05:32:14Z,2,"[0.0, 50.0, 50.0, 0.0, 0.0]","[0.0, -50.0, 50.0, 0.0, 0.0]",
14603,2022-05-24T07:50:30Z,6,"[0.0, 0.0, 15.0, 55.0, 30.0]","[0.0, 0.0, 15.0, -5.0, -10.0]",
103258,2022-05-23T18:21:54Z,3,"[10.0, 29.0, 41.0, 20.0, 0.0]","[-5.0, -5.0, 0.0, 10.0, 0.0]",
96828,2022-05-19T12:35:04Z,7,"[16.0, 28.0, 23.0, 23.0, 10.0]","[-2.0, 4.0, 0.0, 0.0, -2.0]","RATIONALE: My forecast lies between my inside and outside views, with a slight bias toward the upward trend regressing to the ""mean trend."" I am not too sure what drives the increase and decrease. I reckon COVID has changed the trend but for how long remains uncertain."
103878,2022-05-15T15:05:09Z,9,"[0.0, 7.0, 40.0, 41.0, 12.0]","[0.0, -8.0, -2.0, 5.0, 5.0]",
104025,2022-05-15T12:15:07Z,2,"[0.0, 0.0, 70.0, 30.0, 0.0]","[0.0, 0.0, 70.0, -20.0, -50.0]","Dec was 148 and since then increasing - typicallyabout 2 points per month, although a 5 point increase between Feb/March - potential to exceed 8% (currently sitting around 5% - but i don't know if i'll go over 12)"
691,2022-05-14T14:15:34Z,5,"[0.0, 12.0, 38.0, 40.0, 10.0]","[0.0, -10.0, -10.0, 10.0, 10.0]",
14603,2022-05-14T08:42:26Z,5,"[0.0, 0.0, 0.0, 60.0, 40.0]","[0.0, 0.0, -20.0, 0.0, 20.0]",
94872,2022-05-13T06:47:53Z,6,"[1.0, 5.0, 25.0, 34.0, 35.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",
67312,2022-05-12T19:43:57Z,3,"[0.0, 4.0, 72.0, 22.0, 2.0]","[-2.0, -17.0, 24.0, -6.0, 1.0]",
103878,2022-05-12T16:04:00Z,8,"[0.0, 15.0, 42.0, 36.0, 7.0]","[-1.0, -7.0, -1.0, 8.0, 1.0]",
87691,2022-05-11T06:18:23Z,1,"[0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 100.0, 0.0]",
106093,2022-05-10T13:16:37Z,1,"[0.0, 0.0, 0.0, 0.0, 100.0]","[0.0, 0.0, 0.0, 0.0, 100.0]",
