"Before 8 November 2022, will American basketball player Brittney Griner leave Russia?",2022-08-12T17:00:00Z,2022-11-08T08:01:00Z,No,"['Yes', 'No']","['Foreign Policy', 'US Politics', 'Non-US Politics']",451,654,123,237,,https://www.gjopen.com/questions/2512-before-8-november-2022-will-american-basketball-player-brittney-griner-leave-russia
14208,2022-11-08T04:34:26Z,2,[0.0],[-50.0],he’s a real Russian spy he plays ball with Vladimir Putins daughter
107245,2022-10-28T15:09:26Z,1,[0.0],[0.0],
107400,2022-10-28T14:08:24Z,1,[0.0],[0.0],
107274,2022-10-28T14:07:50Z,1,[3.0],[3.0],
107351,2022-10-28T14:07:46Z,1,[0.0],[0.0],
559,2022-10-28T13:49:30Z,4,[7.0],[-5.0],"Still thinking there may be a surprise, recent news notwithstanding.."
96828,2022-10-28T12:31:05Z,42,[5.0],[-2.0],
90157,2022-10-28T01:02:58Z,2,[0.0],[-1.0],
105622,2022-10-27T18:47:52Z,38,[9.0],[-2.0],
106750,2022-10-27T13:06:57Z,2,[10.0],[-40.0],
107267,2022-10-26T19:35:24Z,3,[0.0],[-1.0],
13824,2022-10-26T19:07:44Z,1,[1.0],[1.0],
67500,2022-10-26T17:58:38Z,4,[2.0],[-10.0],
107994,2022-10-26T16:30:08Z,1,[3.0],[3.0],Reasons for Griner leaving Russian before 2022-11-08
107346,2022-10-26T15:15:09Z,1,[2.0],[2.0],
96828,2022-10-26T11:29:49Z,41,[7.0],[3.0],
95992,2022-10-26T11:29:13Z,18,[2.0],[-2.0],
96828,2022-10-26T11:29:11Z,40,[4.0],[3.0],
95992,2022-10-26T01:30:18Z,17,[4.0],[0.0],Really coming down to the wire.
107267,2022-10-25T21:36:28Z,2,[1.0],[-98.0],
107267,2022-10-25T21:36:10Z,1,[99.0],[99.0],
107215,2022-10-25T21:10:00Z,4,[0.0],[-1.0],
105251,2022-10-25T19:08:33Z,11,[0.0],[-2.0],
104410,2022-10-25T18:45:38Z,2,[0.0],[0.0],
105622,2022-10-25T18:31:49Z,37,[11.0],[-4.0],
107422,2022-10-25T17:33:56Z,3,[8.0],[-12.0],"Brittney's appeal was rejected in Russia. Also, as the timeline is getting closer, the probability drops. Source: https://www.pbs.org/newshour/world/brittney-griners-appeal-rejected-russian-court-upholds-9-year-sentence"
104025,2022-10-25T16:02:13Z,2,[1.0],[-49.0],"big downward adjustment based on today's news about appeal being rejected...there are other options, but likelihood by question end is low"
56974,2022-10-25T15:08:59Z,3,[0.0],[-5.0],
89038,2022-10-25T15:03:11Z,12,[2.0],[-1.0],
96828,2022-10-25T14:36:24Z,39,[1.0],[-7.0],
86607,2022-10-25T13:50:29Z,23,[1.0],[-3.0],
107093,2022-10-25T13:02:36Z,8,[2.0],[-1.0],In my previous forecast i misunderstood the timeline of the appeal court. The sentence was upheld. https://www.nytimes.com/live/2022/10/25/world/russia-ukraine-war-news
107093,2022-10-25T13:00:57Z,7,[3.0],[0.0],
20156,2022-10-25T10:02:00Z,5,[4.0],[-8.0],
34959,2022-10-25T07:14:08Z,4,[2.0],[-2.0],
84880,2022-10-24T21:38:08Z,9,[1.0],[-4.0],
42234,2022-10-24T16:46:09Z,2,[0.0],[0.0],Griner’s lawyers say the appeal can lead to one of three outcomes:
107696,2022-10-24T01:09:35Z,3,[1.0],[-3.0],
107330,2022-10-23T20:56:42Z,1,[0.0],[0.0],
103258,2022-10-23T14:53:18Z,9,[2.0],[-2.0],
107965,2022-10-22T20:33:43Z,1,[14.0],[14.0],
96828,2022-10-22T19:51:49Z,38,[8.0],[-7.0],
107718,2022-10-22T10:24:59Z,3,[0.0],[-100.0],
107956,2022-10-22T02:48:37Z,1,[10.0],[10.0],
95992,2022-10-22T02:31:05Z,16,[4.0],[-1.0],Passage of time though Russian and US diplomats did speak recently.
107718,2022-10-21T08:59:25Z,2,[100.0],[100.0],
105622,2022-10-20T20:01:26Z,36,[15.0],[-1.0],
107182,2022-10-20T19:58:07Z,8,[1.0],[0.0],
104410,2022-10-20T18:39:13Z,1,[0.0],[0.0],
89038,2022-10-20T17:41:24Z,11,[3.0],[-2.0],
102737,2022-10-20T15:11:01Z,7,[0.0],[-2.0],
107821,2022-10-20T05:11:22Z,1,[3.0],[3.0],
107373,2022-10-19T22:39:01Z,3,[2.0],[-5.0],"Adjusted my prediction down (7% --> 2%) as we approach the end of the time window for the prediction. I may adjust further after Ms. Griner's appeal hearing on 25 OCT. From Moscow, I imagine that the decision-making process on Griner is heavily linked to the U.S. midterm elections. Given the current state of U.S.-Russian relations, I don't think Russian leaders would want to hand the Biden administration an apparent victory to bolster domestic support."
105622,2022-10-19T15:37:40Z,35,[16.0],[-1.0],
691,2022-10-19T13:03:02Z,9,[1.0],[-1.0],
107435,2022-10-19T06:33:06Z,2,[5.0],[-3.0]
104611,2022-10-18T21:24:15Z,1,[0.0],[0.0],
42234,2022-10-18T18:50:22Z,1,[0.0],[0.0],"A quick scan of the news does not suggest this. The Kremlin is well aware of the upcoming midterm elections and the effect the release would potentially have, and they don't seem to have a reason to do Biden--or almost anybody in the US--any favours. The Russian service of VoA reports that Biden may discuss the issue with Putin at the G20 summit. That's after our cut-off date."
107629,2022-10-18T13:21:32Z,2,[5.0],[-5.0],
107392,2022-10-18T03:30:56Z,4,[1.0],[-3.0],
102737,2022-10-18T01:28:49Z,6,[2.0],[-4.0],
86607,2022-10-17T20:50:08Z,22,[4.0],[-2.0],
105622,2022-10-17T19:12:32Z,34,[17.0],[-4.0],
103258,2022-10-17T18:53:22Z,8,[4.0],[-2.0],
107182,2022-10-17T18:52:34Z,7,[1.0],[0.0],
107182,2022-10-17T18:25:06Z,6,[1.0],[0.0],
96828,2022-10-17T15:32:51Z,37,[15.0],[-6.0],
107265,2022-10-17T15:27:56Z,2,[1.0],[0.0],
107295,2022-10-17T05:43:58Z,2,[5.0],[-10.0],"There just doesn't seem to be any shot by November 8th. Genuinely, nothing there."
89038,2022-10-17T00:28:18Z,10,[5.0],[-2.0],
107117,2022-10-16T18:21:34Z,1,[0.0],[0.0],
102121,2022-10-16T14:46:49Z,13,[0.0],[-3.0],
4531,2022-10-16T14:34:11Z,2,[13.0],[-67.0],
95992,2022-10-16T01:13:03Z,15,[5.0],[-3.0],Passage of time
86554,2022-10-15T20:49:36Z,5,[0.0],[-1.0],
105622,2022-10-15T15:14:31Z,33,[21.0],[-2.0],
107732,2022-10-15T14:48:24Z,1,[3.0],[3.0],
767,2022-10-15T03:27:54Z,3,[0.0],[-2.0],
107215,2022-10-14T21:34:24Z,3,[1.0],[-4.0],
106642,2022-10-14T16:51:25Z,5,[2.0],[-53.0],
1646,2022-10-14T15:33:37Z,3,[1.0],[-3.0],
107297,2022-10-14T14:53:13Z,6,[1.0],[-4.0],
94737,2022-10-14T14:38:16Z,2,[0.0],[-100.0],
89038,2022-10-14T11:32:00Z,9,[7.0],[-1.0],
22689,2022-10-14T08:30:03Z,1,[0.0],[0.0],
107696,2022-10-14T02:39:41Z,2,[4.0],[-4.0],
56974,2022-10-13T12:57:18Z,2,[5.0],[-55.0],
559,2022-10-13T11:34:33Z,3,[12.0],[-3.0],"Adjusting down for passage of time, but remain bullish for diplomatic October Surprise."
96828,2022-10-13T10:50:39Z,36,[21.0],[-1.0],
96828,2022-10-13T10:50:31Z,35,[22.0],[2.0],
105251,2022-10-12T17:42:18Z,10,[2.0],[-11.0],
691,2022-10-12T16:30:33Z,8,[2.0],[-2.0],
107093,2022-10-12T16:00:57Z,6,[3.0],[-10.0],
102121,2022-10-12T15:48:43Z,12,[3.0],[3.0],
107265,2022-10-12T15:08:43Z,1,[1.0],[1.0],
107215,2022-10-12T09:11:00Z,2,[5.0],[0.0],
107435,2022-10-12T04:46:42Z,1,[8.0],[8.0],"My probability is higher than previously expected because, according to Bloomberg, President Biden said he would meet with Putin to discuss Griner, but not Ukraine. Also, former US Ambassador Bill Richardson has been working on her release, and he has stated that he feels ""cautiously optimistic"" that she could be released before the end of the year. This isn't telling much about what Russia is actually willing to do, but there is likely more information that is not being reported on."
106866,2022-10-11T21:04:40Z,3,[0.0],[-2.0],less than a month now and no further mentions or information that US government brings her home.
7327,2022-10-11T17:28:30Z,1,[3.0],[3.0],Given the tensions between the US and Russia and the complete disdain between the two parties I find a negotiated solution to be highly unlikely.
67500,2022-10-11T16:56:26Z,3,[12.0],[-28.0],"Some optimism due to Richardson's comments (https://www.nytimes.com/2022/10/09/world/europe/bill-richardson-brittney-griner-paul-whelan.html) but timing still difficult to predict. Additionally, there is an appeal proceeding on the 10/25 so perhaps no movement before that (https://apnews.com/article/brittney-griner-sports-phoenix-mercury-government-and-politics-e9eb8fbe921f4784fe146becaae05c47)?"
100176,2022-10-11T13:10:21Z,1,[1.0],[1.0],
34959,2022-10-11T08:37:00Z,3,[4.0],[-1.0],
105251,2022-10-11T04:28:49Z,9,[13.0],[12.0],
105622,2022-10-11T03:43:16Z,32,[23.0],[5.0],Thanks @wanderingwolf for the link: https://news.yahoo.com/americans-griner-whelan-may-gain-203824550.html?guccounter=1&guce_referrer=aHR0cHM6Ly9uZXdzLmdvb2dsZS5jb20v&guce_referrer_sig=AQAAAB2AZt0Sy5DegnEBJc7a1pisjXkfCOY2igz2oFrHHoWv3C3dIWzo5j7d3Pm-FZh7xbBePWw9C_54FIFEqEA2DX5VC0J7EHTIyhVjWUNieREEi0QRZj832WM-_UJ0WhglJQQAtOkhEmjMjDVsj2KR4-WF68fmRkKUwZwZ1ISEo7RE
28166,2022-10-10T21:55:29Z,1,[4.0],[4.0],
107422,2022-10-10T18:34:35Z,2,[20.0],[18.0],"A new article quotes, ""WNBA star Brittney Griner and former U.S. Marine Paul Whelan, who are being held in Russia, could gain release by the end of this year, said former U.S. ambassador to the United Nations Bill Richardson, who traveled to Moscow in September. Richardson told CNN in an interview on Sunday that he had met with senior Russian officials and individuals close to Russian President Vladimir Putin during his trip, though his visit was not on behalf of the United States."""
103258,2022-10-10T18:10:20Z,7,[6.0],[-2.0],
88452,2022-10-10T07:53:35Z,3,[0.0],[-51.0],
86607,2022-10-09T22:35:26Z,21,[6.0],[1.0],
105622,2022-10-09T16:10:24Z,31,[18.0],[-2.0],"I was surprised by the release and very quick return of Trevor Reed when it looked like his situation could go on indefinitely. I was especially surprised that a diplomatic channel existed to negotiate his release given the state of the Russia Ukraine war at the time. For these reasons, I keep the probability higher than the crowd since it’s one of those questions that can resolve yes with very little to proceed it. Also, it is to the administration’s advantage to underpromise, and then, potentially, deliver on the promise with little prior notice."
89038,2022-10-09T15:02:51Z,8,[8.0],[-3.0],
107186,2022-10-09T14:37:38Z,3,[0.0],[-4.0],
105251,2022-10-09T02:31:01Z,8,[1.0],[0.0],
102737,2022-10-09T00:07:12Z,5,[6.0],[-2.0],Passage of time.
96828,2022-10-08T19:56:53Z,34,[20.0],[0.0],"Maintaining forecast, but now curious about stats on success of appeals in Russia, since her appeal is on 25 October 2022. It's not a zero chance, I presume. Additionally, @PaulJCforecaster brings up a statistic that "" 56% of Americans detained abroad were detained for a year or less."""
86554,2022-10-08T07:33:49Z,4,[1.0],[-1.0],
105622,2022-10-08T01:18:19Z,30,[20.0],[-1.0],
691,2022-10-07T12:43:19Z,7,[4.0],[-1.0],
95992,2022-10-07T12:09:26Z,14,[8.0],[-4.0],Time running low
107422,2022-10-07T08:35:32Z,1,[2.0],[2.0],"As long as things continue to go poorly for Russia, I don't see this swap happening."
106043,2022-10-07T02:07:51Z,1,[20.0],[20.0],"According to the James W. Foley Legacy Foundation, 56% of Americans detained abroad were detained for a year or less. She has been detained for about 8 months. So given the former I judge the event of her being released as more likely than not. But given the latter (that she hasn't been detained for a whole year yet) it seems I should adjust that likelihood down. I don't know how to figure out by how much I should adjust it down so my adjustment may be too small or too large."
96828,2022-10-07T01:33:20Z,33,[20.0],[-1.0],
96828,2022-10-07T01:33:13Z,32,[21.0],[-1.0],
105251,2022-10-06T16:59:37Z,7,[1.0],[-1.0],
86607,2022-10-06T15:15:36Z,20,[5.0],[-3.0],
96828,2022-10-06T14:45:49Z,31,[22.0],[-1.0],
105622,2022-10-06T14:45:32Z,29,[21.0],[-1.0],
80475,2022-10-06T14:32:16Z,3,[5.0],[-15.0],"I certainly don't think she will serve her entire sentence, but from all the different clues, it seems like this could be awhile. I'll give it maybe a 5% chance each month, and there is one month left."
96828,2022-10-06T14:16:10Z,30,[23.0],[-4.0],"Saw a NYT alert saying that Griner's wife has only spoken to her twice since she was arrested, which lowers my forecast."
84880,2022-10-06T00:35:17Z,8,[5.0],[-2.0],
105622,2022-10-05T21:14:10Z,28,[22.0],[-1.0],
691,2022-10-05T16:12:07Z,6,[5.0],[-7.0],
105251,2022-10-05T02:22:52Z,6,[2.0],[0.0],
21865,2022-10-05T02:08:48Z,1,[0.0],[0.0],
95992,2022-10-05T01:41:08Z,13,[12.0],[-2.0],Passage of time
105622,2022-10-04T21:05:38Z,27,[23.0],[-10.0],Sounds like the US is staying with its initial offer and some claim not to know what Russia wants (John Kirby's quotes in the below link):
90157,2022-10-04T17:39:58Z,1,[1.0],[1.0],"I do not see this happening anytime soon, given the current escalation of the war in Ukraine."
105622,2022-10-04T04:21:54Z,26,[33.0],[-2.0],
107215,2022-10-03T23:58:07Z,1,[5.0],[5.0],
103258,2022-10-03T18:14:32Z,6,[8.0],[-7.0],
102121,2022-10-03T15:47:38Z,11,[0.0],[-23.0],
1333,2022-10-03T14:27:20Z,23,[0.0],[-1.0],
105622,2022-10-03T14:08:11Z,25,[35.0],[-2.0],
89038,2022-10-03T12:34:18Z,7,[11.0],[-3.0],
20156,2022-10-03T12:28:29Z,4,[12.0],[-11.0],
107696,2022-10-03T01:31:12Z,1,[8.0],[8.0],
86607,2022-10-02T18:53:10Z,19,[8.0],[-5.0],Very little time. Biden admin may want to get it before the election but Russia may want to deliberately cause the administration harm also
107718,2022-10-02T17:06:06Z,1,[0.0],[0.0]
105622,2022-10-02T17:03:47Z,24,[37.0],[-5.0],
1646,2022-10-02T11:48:06Z,2,[4.0],[-4.0],
96828,2022-10-02T01:10:55Z,29,[27.0],[-1.0],A handful of Americans imprisoned in Venezuela were released. +1pp. But time has elapsed with no news. -1pp. Seeing others decreasing their forecasts. -1pp. Net gain: -1pp to a new forecast of 27%.
105622,2022-10-01T15:38:00Z,23,[42.0],[-2.0],
89038,2022-10-01T00:19:33Z,6,[14.0],[-4.0],
767,2022-09-30T19:56:32Z,2,[2.0],[-8.0],Things just got a lot more complicated in her case.
102737,2022-09-30T08:54:17Z,4,[8.0],[-10.0],Passage of time.
105622,2022-09-30T05:36:22Z,22,[44.0],[-1.0],
89038,2022-09-30T04:32:13Z,5,[18.0],[-4.0],
105251,2022-09-29T23:33:21Z,5,[2.0],[-1.0],
84880,2022-09-29T21:49:12Z,7,[7.0],[-3.0],
107297,2022-09-29T17:57:09Z,5,[5.0],[-1.0],
103258,2022-09-29T17:13:32Z,5,[15.0],[-5.0],
105622,2022-09-29T16:03:14Z,21,[45.0],[-1.0],
96828,2022-09-29T12:03:12Z,28,[28.0],[-2.0],
96828,2022-09-29T12:02:42Z,27,[30.0],[-2.0],
95992,2022-09-29T11:52:15Z,12,[14.0],[-4.0],Passage of time plus Putin annexing territories
50981,2022-09-28T21:44:03Z,1,[0.0],[0.0],
107392,2022-09-28T16:04:49Z,3,[4.0],[-1.0],"Aside from the apparent fact that Russia has no particular incentive at the present time to release Griner, President Putin has - in past instances - generally adhered to the established process for the granting of pardons which first requires consideration by the Presidential Pardons Commission of the Federation. The commission has opened up no case involving Griner so it's unlikely that, even if one were opened immediately, it would be resolved by 8 November. Of course, he is not bound to adhere to this process or, in fact, even issue a pardon (he could simply deport her)."
105622,2022-09-28T14:58:00Z,20,[46.0],[-1.0],
86607,2022-09-28T14:35:16Z,18,[13.0],[-2.0],
102121,2022-09-28T10:11:18Z,10,[23.0],[-2.0],
107373,2022-09-27T22:09:34Z,2,[7.0],[7.0],"To better understand the case of Brittney Griner's captivity, I've looked at cases in which a US national was detained by either the present-day Russian Federation or the former Soviet Union. Between the 1930s and the 1950s periods of detention tended to be longer, spanning as much as two decades. from the 1960s to 1980s, we see only two cases of detentions, lasting only one and three years respectively. Skipping ahead to the more recent detentions of Trevor Reed, we see that he was released after four years. There does not appear to be any relationship between prisoners' USG affiliation and the length of their detention. However, the length of detention appears to have trended downward over time. Two other US nationals--Paul Whelan (four years) and Marc Fol (one year)--are being held by Russian authorities concurrently with Ms. Griner. Based on the length of the most recent historic detentions, I would say that Russian authorities tend to hold Americans for one to four years. Ms. Griner is near the low end of that range, so I don't think it is likely (5% chance) that she will be released before 8 November 2022."
107373,2022-09-27T22:08:42Z,1,[0.0],[0.0],
105622,2022-09-27T16:21:10Z,19,[47.0],[-1.0],
559,2022-09-27T13:21:20Z,2,[15.0],[10.0],"I sincerely hope any release won't be considered Democrats' ""October Surprise"""
89038,2022-09-27T12:24:55Z,4,[22.0],[-3.0],
107629,2022-09-27T12:19:45Z,1,[10.0],[10.0]
107093,2022-09-27T11:52:39Z,5,[13.0],[-2.0],Adjusting for passed time. No significant events make me reconsider the core of my forecast.
107297,2022-09-27T04:57:06Z,4,[6.0],[-2.0],
105622,2022-09-26T20:57:52Z,18,[48.0],[-2.0],
95992,2022-09-26T14:23:18Z,11,[18.0],[-2.0],Passage of time
67500,2022-09-26T13:48:38Z,2,[40.0],[-30.0],
102121,2022-09-26T12:53:10Z,9,[25.0],[-12.0],
105622,2022-09-25T22:17:46Z,17,[50.0],[-1.0],
107138,2022-09-25T16:21:52Z,2,[20.0],[-2.0],
86607,2022-09-24T19:51:08Z,17,[15.0],[-1.0],Remarkably little time left in this question
107594,2022-09-24T19:22:32Z,1,[0.0],[0.0],
691,2022-09-24T15:27:53Z,5,[12.0],[-3.0],
1333,2022-09-23T23:29:39Z,22,[1.0],[1.0],
105251,2022-09-23T20:42:10Z,4,[3.0],[2.0],
84880,2022-09-23T17:35:04Z,6,[10.0],[1.0],
25601,2022-09-23T14:00:37Z,3,[60.0],[-10.0],
105622,2022-09-22T19:09:36Z,16,[51.0],[1.0],
1333,2022-09-22T13:09:33Z,21,[0.0],[-12.0],
107093,2022-09-22T08:50:09Z,4,[15.0],[5.0],The news that makes me reconsider upwards is this one https://www.cnn.com/2022/09/21/politics/russia-ukraine-prisoner-swap/index.html
89038,2022-09-22T07:40:09Z,3,[25.0],[7.0],Recent prisoner swap gives momentum
103258,2022-09-22T05:14:38Z,4,[20.0],[3.0],
96828,2022-09-22T02:49:56Z,26,[32.0],[8.0],"Saw a CNN report that Americans have been freed from Russia in a prisoner exchange. With many efforts to free Griner and the evidence that Russia is at least willing to swap, I up my chances."
95992,2022-09-22T01:05:53Z,10,[20.0],[2.0],
96828,2022-09-22T00:45:26Z,25,[24.0],[1.0],"""Roy Jones Jr says he will go to ‘Mr. Putin’ to secure release of detained basketball star Brittney Griner"
96828,2022-09-22T00:42:16Z,24,[23.0],[-8.0],
107410,2022-09-22T00:36:10Z,1,[4.0],[4.0],
84880,2022-09-21T19:45:59Z,5,[9.0],[-8.0],
107297,2022-09-21T17:02:22Z,3,[8.0],[-2.0],"Updated due to passage of time, without news of negotiations"
34959,2022-09-21T16:12:25Z,2,[5.0],[-2.0],
105251,2022-09-21T14:24:39Z,3,[1.0],[-2.0],
54077,2022-09-21T00:19:01Z,1,[0.0],[0.0],
105622,2022-09-21T00:06:13Z,15,[50.0],[-14.0],
95992,2022-09-20T22:16:53Z,9,[18.0],[-1.0],Passage of time
86607,2022-09-20T18:08:26Z,16,[16.0],[-4.0],Russian annexation / mobilization / escalation probably makes this less likely in the short run
102737,2022-09-20T14:09:18Z,3,[18.0],[-12.0],"Passage of time, no news."
84880,2022-09-19T22:29:16Z,4,[17.0],[-8.0],
105622,2022-09-19T18:50:24Z,14,[64.0],[-1.0],
86607,2022-09-19T15:59:51Z,15,[20.0],[-5.0]
103258,2022-09-19T05:01:14Z,3,[17.0],[-1.0],
96828,2022-09-19T02:04:42Z,23,[31.0],[-1.0],
107258,2022-09-19T01:24:40Z,1,[6.0],[6.0],"The date on this question makes it a midterms question. That shifts the question to ""do democrats want this as a key issue or accomplishment heading in to the elections?"" I don't think it is likely that they will want the view from the public that they will negotiate with Russia, especially with the ongoing war. Also, from things I have seen, they people that are being rumored to be offered in return are Russian arms dealers. So I just don't think it is a good look going into an election to be negotiating giving away a terrorist in return for a WNBA star."
107295,2022-09-19T00:53:45Z,1,[15.0],[15.0],"Prisoner swaps take a lot of time, especially between 2 countries that absolutely hate eachother. Normally, there would be updates on how negotiations are proceeding or a plan for bringing the prisoner home. However, the US government has been very quiet recently, which tells me that negotiations aren't proceeding well. The US is reluctant to give up more than one prisoner, especially a high profile arms dealer Viktor Bout (Merchant of Death). Everything about the situation tells me that both sides can't reach an agreement and it will likely take much, much longer than a month and a half to reach a proper deal. There is a chance the war in Ukraine ends and perhaps Griner comes back quietly after the war, but the chances of that are very unlikely. Griner will come back eventually, but the problem is the time limit in this case."
105622,2022-09-18T18:07:11Z,13,[65.0],[-1.0],
89038,2022-09-17T21:06:23Z,2,[18.0],[2.0],
107392,2022-09-17T17:53:19Z,2,[5.0],[5.0],
105622,2022-09-17T15:42:11Z,12,[66.0],[-1.0],
107182,2022-09-17T14:38:26Z,5,[1.0],[-4.0],
95992,2022-09-16T15:40:14Z,8,[19.0],[3.0],"I don't know what to make of this. Biden meeting with Griner's family, but allegedly to deliver bad news."
1333,2022-09-15T21:45:09Z,20,[12.0],[-1.0],
107186,2022-09-15T18:37:35Z,2,[4.0],[-46.0],
86607,2022-09-15T13:21:10Z,14,[25.0],[6.0],
107093,2022-09-15T12:23:49Z,3,[10.0],[-5.0],"A month has passed since my last forecast and i am reducing the probability to adjust for approaching deadline. No reason to increase the probability as the white house is still distancing itself from any private negotiations, which makes me believe they estimate the chance of success to be very low. https://www.aljazeera.com/news/2022/9/14/ex-us-official-visits-russia-to-push-for-americans-release"
102121,2022-09-15T12:04:21Z,8,[37.0],[2.0],
96828,2022-09-14T21:54:37Z,22,[32.0],[3.0],
96828,2022-09-14T21:51:05Z,21,[29.0],[1.0],
96828,2022-09-14T21:50:44Z,20,[28.0],[5.0],
105622,2022-09-14T20:06:39Z,11,[67.0],[3.0],"Some news that Richardson is in Moscow presently, but nothing to indicate progress. https://thehill.com/homenews/administration/3642256-bill-richardson-visits-moscow-amid-griner-whelan-detentions/"
107415,2022-09-14T06:26:15Z,1,[60.0],[60.0],"It either will or will not happen, so for an initial forecast, I'm starting with a baseline of 50% prior probability. As this is a relatively high profile case, I believe there is an heightened incentive to get a deal done. However, the proxy war between the West and Russia, executed primarily by Ukrainian forces on Ukrainian territory confounds the issue as Russia has very few bargaining chips to hold the US to the table diplomatically. With a progressive US regime, I believe it is unlikely that they will allow a high-profile (for a variety of reasons) entity to remain imprisoned by Russia for a significant period. Regardless of care for its citizens, I believe that social pressure will push the US to make a deal to get Griner freed. However, I do not strongly believe that it will happen based on the Mid-term election (8 Nov) timeline, so that lowers my probability. My probability would be higher if the time horizon was by 1 January 2023 or beyond."
1333,2022-09-13T21:10:01Z,19,[13.0],[-12.0],
1333,2022-09-13T15:08:46Z,18,[25.0],[-2.0],
105622,2022-09-13T14:43:05Z,10,[64.0],[-1.0],
95992,2022-09-13T14:14:25Z,7,[16.0],[-1.0],Passage of time
107356,2022-09-13T13:46:30Z,2,[45.0],[-25.0],
107356,2022-09-13T13:46:18Z,1,[70.0],[70.0],
20156,2022-09-13T07:59:31Z,3,[23.0],[-20.0],
105622,2022-09-12T22:31:30Z,9,[65.0],[-1.0],
