"Will Greece or Turkey publicly accuse the other of using a weapon against its national military, militia, and/or law enforcement forces before 29 April 2023?",2022-10-28T17:00:00Z,2023-01-05T09:00:01Z,Yes,"['Yes', 'No']","['Foreign Policy', 'Security and Conflict', 'Non-US Politics']",195,514,56,204,,https://www.gjopen.com/questions/2604-will-greece-or-turkey-publicly-accuse-the-other-of-using-a-weapon-against-its-national-military-militia-and-or-law-enforcement-forces-before-29-april-2023
96828,2023-01-09T22:44:48Z,5,[82.0],[48.0],@ctsats
368,2022-12-22T18:05:07Z,52,[0.0],[0.0],
530,2022-12-22T13:19:48Z,4,[5.0],[0.0],
81431,2022-12-21T15:05:05Z,2,[1.0],[0.0],
368,2022-12-20T13:26:07Z,51,[0.0],[0.0],
368,2022-12-19T21:24:32Z,50,[0.0],[0.0],
368,2022-12-18T15:14:05Z,49,[0.0],[0.0],
107437,2022-12-18T08:48:43Z,2,[10.0],[-10.0],
368,2022-12-17T15:11:35Z,48,[0.0],[0.0],
619,2022-12-17T07:43:49Z,1,[30.0],[30.0],
368,2022-12-16T12:35:31Z,47,[0.0],[0.0],
1034,2022-12-14T21:15:38Z,4,[0.0],[0.0],
89035,2022-12-14T18:09:59Z,3,[12.0],[-3.0],
368,2022-12-14T15:12:21Z,46,[0.0],[0.0],
368,2022-12-13T20:02:03Z,45,[0.0],[0.0],
86607,2022-12-13T17:11:06Z,4,[6.0],[2.0],
105338,2022-12-12T18:26:22Z,3,[13.0],[1.0],Heightened tension.
368,2022-12-12T14:57:25Z,44,[0.0],[0.0],
107689,2022-12-11T16:23:14Z,3,[7.0],[-3.0],
368,2022-12-11T15:11:19Z,43,[0.0],[0.0],
105622,2022-12-11T06:28:17Z,15,[14.0],[-3.0],
107981,2022-12-11T03:40:57Z,2,[4.0],[0.0],
368,2022-12-10T12:45:38Z,42,[0.0],[0.0],
77412,2022-12-09T14:20:53Z,2,[6.0],[-1.0],Time decay
368,2022-12-09T13:47:28Z,41,[0.0],[0.0],
102121,2022-12-09T01:06:56Z,3,[5.0],[-6.0],
530,2022-12-08T22:26:57Z,3,[5.0],[0.0],
368,2022-12-07T14:21:08Z,40,[0.0],[0.0],
105338,2022-12-07T06:33:38Z,2,[12.0],[-6.0]
81431,2022-12-06T16:02:51Z,1,[1.0],[1.0],
368,2022-12-06T15:09:38Z,39,[0.0],[0.0],
107329,2022-12-05T22:29:13Z,1,[6.0],[6.0],
1034,2022-12-05T18:14:30Z,3,[0.0],[0.0],
368,2022-12-04T14:22:18Z,38,[0.0],[0.0],
1333,2022-12-04T08:07:13Z,8,[7.0],[-1.0],
368,2022-12-03T18:04:51Z,37,[0.0],[0.0],
1333,2022-12-03T16:09:25Z,7,[8.0],[-1.0],
530,2022-12-02T20:06:51Z,2,[5.0],[0.0],
107689,2022-12-02T18:04:47Z,2,[10.0],[-5.0],
368,2022-12-02T15:27:00Z,36,[0.0],[0.0],
368,2022-12-01T14:52:10Z,35,[0.0],[0.0],
368,2022-11-30T15:29:06Z,34,[0.0],[0.0],
102737,2022-11-30T00:30:27Z,2,[12.0],[-6.0],
1333,2022-11-29T14:31:19Z,6,[9.0],[-1.0],
368,2022-11-29T13:45:42Z,33,[0.0],[0.0],
86607,2022-11-29T02:56:48Z,3,[4.0],[-1.0],
87566,2022-11-28T21:05:08Z,1,[10.0],[10.0],
107382,2022-11-28T16:43:56Z,2,[2.0],[0.0],
368,2022-11-28T14:02:34Z,32,[0.0],[0.0],
102121,2022-11-28T10:14:51Z,2,[11.0],[-6.0],
105622,2022-11-28T08:33:18Z,14,[17.0],[-4.0],
1034,2022-11-27T20:34:07Z,2,[0.0],[0.0],
368,2022-11-27T18:40:09Z,31,[0.0],[0.0],
368,2022-11-26T20:25:49Z,30,[0.0],[0.0],
368,2022-11-25T20:41:20Z,29,[0.0],[0.0],
1333,2022-11-25T14:44:22Z,5,[10.0],[-1.0],
14208,2022-11-25T14:13:07Z,4,[0.0],[-100.0],Turkey made the decision to stay in NATO
14208,2022-11-25T03:42:59Z,3,[100.0],[0.0],because Turkey has been subverted by another nation Turkish NATO status is about to be terminated
368,2022-11-24T14:10:34Z,28,[0.0],[0.0],
105622,2022-11-24T06:45:47Z,13,[21.0],[-2.0],
105622,2022-11-24T06:45:06Z,12,[23.0],[-3.0],
14208,2022-11-23T21:28:59Z,2,[100.0],[100.0],they will in January because Greece is another nation I’m fairly certain the post below was done by someone else then deleted that’s not cool
368,2022-11-23T15:59:01Z,27,[0.0],[0.0],
15500,2022-11-23T09:07:11Z,1,[1.0],[1.0],
102080,2022-11-23T00:55:08Z,1,[10.0],[10.0],
14208,2022-11-22T22:04:55Z,1,[0.0],[0.0],
1333,2022-11-22T16:33:37Z,4,[11.0],[-1.0],
368,2022-11-22T14:13:59Z,26,[0.0],[0.0],
368,2022-11-21T13:41:45Z,25,[0.0],[0.0],
105622,2022-11-21T06:12:52Z,11,[26.0],[-2.0],
368,2022-11-20T13:45:52Z,24,[0.0],[0.0],
368,2022-11-19T19:02:35Z,23,[0.0],[0.0],
20832,2022-11-18T19:47:23Z,2,[30.0],[-10.0],
368,2022-11-18T14:56:46Z,22,[0.0],[0.0],
368,2022-11-17T17:18:16Z,21,[0.0],[0.0],
368,2022-11-16T21:44:29Z,20,[0.0],[0.0],
1333,2022-11-16T15:16:26Z,3,[12.0],[1.0],
105622,2022-11-16T07:45:51Z,10,[28.0],[2.0],
530,2022-11-15T18:15:14Z,1,[5.0],[5.0],
368,2022-11-15T13:26:46Z,19,[0.0],[0.0],
105622,2022-11-15T01:32:08Z,9,[26.0],[-3.0],
101364,2022-11-14T14:48:01Z,1,[10.0],[10.0],
368,2022-11-14T11:40:14Z,18,[0.0],[0.0],
1333,2022-11-13T20:32:13Z,2,[11.0],[1.0],
368,2022-11-13T13:39:29Z,17,[0.0],[0.0],
89035,2022-11-13T02:56:13Z,2,[15.0],[10.0]
368,2022-11-12T15:32:21Z,16,[0.0],[0.0],
108018,2022-11-11T17:30:47Z,2,[12.0],[11.0],
368,2022-11-11T14:45:59Z,15,[0.0],[0.0],
368,2022-11-10T14:48:37Z,14,[0.0],[0.0],
107361,2022-11-09T16:14:36Z,1,[20.0],[20.0],
368,2022-11-09T15:29:36Z,13,[0.0],[0.0],
368,2022-11-08T13:55:31Z,12,[0.0],[0.0],
105251,2022-11-08T03:52:10Z,2,[21.0],[-4.0],
34657,2022-11-07T18:35:03Z,1,[25.0],[25.0],
368,2022-11-07T17:17:20Z,11,[0.0],[0.0],
105622,2022-11-07T07:17:50Z,8,[29.0],[2.0],
105622,2022-11-07T07:16:50Z,7,[27.0],[6.0],
62808,2022-11-06T21:51:53Z,1,[0.0],[0.0],
368,2022-11-06T14:25:24Z,10,[0.0],[0.0],
368,2022-11-06T03:28:18Z,9,[0.0],[0.0],
105251,2022-11-05T13:56:37Z,1,[25.0],[25.0],
105622,2022-11-05T06:46:51Z,6,[21.0],[-8.0],"Taking into account @probahilliby @404_NOT_FOUND s' comments. Also, for 6 mos. (rather than 7 mos.) at 5% chance force consistent with resolution is used at a rate of every other month, once a month, or twice a month, the numbers are (0.1426, 0.2649, 0.4596 respectively). I wasn't so sure about a 5% chance, so I also tried 3% (I was considering the effect of ideas like ""rules of engagement"" and ""trigger discipline"") and got 0.087, 0.167, 0.3061. Taking the geometric mean of these 6 numbers, I got the probability of my first forecast (0.2065) -- which I rounded up."
368,2022-11-04T12:55:44Z,8,[0.0],[0.0],
105338,2022-11-04T12:44:51Z,1,[18.0],[18.0],Sharing the approach suggestd by @zwoods but expecting a lower base rate of incidents.
691,2022-11-04T12:35:11Z,1,[10.0],[10.0],
107437,2022-11-03T19:11:42Z,1,[20.0],[20.0],"""The Oracle of Delphi famously said that Socrates was the wisest man in all of Greece because he alone understood how little he actually knew."
107366,2022-11-03T19:02:55Z,1,[30.0],[30.0],
368,2022-11-03T12:43:52Z,7,[0.0],[0.0],
96828,2022-11-03T10:20:23Z,4,[34.0],[-4.0],
105622,2022-11-03T06:53:20Z,5,[29.0],[-16.0],"Taking the geometric mean of three forecasts based on fermizing the problem. If we get .5 incidents where force might be used per month with a .95 chance force is threatened (but not used), then the chance that force is used comes out to .1643 (1-(.95^3.5)). If there is one incident per month, I get .3016 (1-(.95^7)). If there are two such incidents per month, then the result is .5123 (1-(.95^14)). The cube root of the product of these three numbers is .2939."
105622,2022-11-03T06:04:20Z,4,[45.0],[-10.0],
87571,2022-11-02T21:22:06Z,1,[2.0],[2.0],
77412,2022-11-02T21:12:42Z,1,[7.0],[7.0],Outside view: there are a variety of different base rates you could point towards all of which suggest the probability is likely LSD%. The probability is also truncated by the shorter time duration.
368,2022-11-02T16:49:09Z,6,[0.0],[0.0],
100664,2022-11-02T09:11:54Z,1,[5.0],[5.0],
105622,2022-11-02T05:51:46Z,3,[55.0],[5.0],
105622,2022-11-02T05:49:06Z,2,[50.0],[30.0],"The bar for accusations seems low. Also, no fatalities need to result. Indeed, ""warning shots"" suffice among forces. If the coast guard of the two count (I think they do), then this question already came close to resolving yes (unless one is more sanguine about the risks of pointing weapons -- it's ""displaying"" in the first part of the below quote and ""pointing"" near the end). Moving up based on this interpretation."
86607,2022-11-01T19:44:48Z,2,[5.0],[-5.0],
4531,2022-11-01T18:20:17Z,1,[2.0],[2.0],
368,2022-11-01T17:03:27Z,5,[0.0],[0.0],
96828,2022-11-01T16:05:17Z,3,[38.0],[0.0],
102121,2022-11-01T11:26:58Z,1,[17.0],[17.0],
96546,2022-11-01T07:44:13Z,2,[0.0],[0.0],
89035,2022-11-01T00:57:37Z,1,[5.0],[5.0],
20832,2022-10-31T18:44:38Z,1,[40.0],[40.0],
105622,2022-10-31T15:05:48Z,1,[20.0],[20.0],
107357,2022-10-31T14:32:19Z,2,[17.0],[0.0],
107357,2022-10-31T14:19:43Z,1,[17.0],[17.0],
368,2022-10-31T13:52:05Z,4,[0.0],[0.0],
80475,2022-10-31T12:51:07Z,1,[8.0],[8.0],"The US, France and other NATO allies are putting strong pressure to keep the situation deescalated. Also, as @Elrond says, Turkey is distracted elsewhere at the moment."
18322,2022-10-30T21:37:05Z,1,[0.0],[0.0],
368,2022-10-30T18:37:04Z,3,[0.0],[0.0],
108018,2022-10-30T10:45:58Z,1,[1.0],[1.0],
45594,2022-10-30T10:38:17Z,1,[5.0],[5.0],
96546,2022-10-30T04:26:26Z,1,[0.0],[0.0],
107383,2022-10-30T01:38:05Z,1,[0.0],[0.0],
92079,2022-10-29T22:27:52Z,1,[0.0],[0.0],
107382,2022-10-29T17:59:02Z,1,[2.0],[2.0],
368,2022-10-29T14:08:01Z,2,[0.0],[0.0],
96828,2022-10-29T12:24:23Z,2,[38.0],[1.0],
34902,2022-10-29T11:49:03Z,1,[39.0],[39.0],
34815,2022-10-29T03:51:19Z,1,[0.0],[0.0],
107981,2022-10-29T02:44:48Z,1,[4.0],[4.0],"Active oil and gas exploration and development near Cyprus will increase tensions. A minor incident could happen within this definition due to disputes over territorial waters and right of drilling ships to operate. Probability is low because other topics are distracting Turkey more, and there are international legal avenues to pursue first."
96828,2022-10-29T00:33:12Z,1,[37.0],[37.0],
86554,2022-10-28T23:53:57Z,1,[3.0],[3.0],
1034,2022-10-28T22:21:48Z,1,[0.0],[0.0],"Not with the current conflict with Russia and Ukraine going on as both are NATO members and an attach on one is no way to win friends for military procurement. The Conversation Website(2022) Oct. 17, states that:"
107988,2022-10-28T21:48:46Z,1,[10.0],[10.0],There is insufficient reason to believe this will happen
106917,2022-10-28T21:18:51Z,2,[90.0],[0.0],"Accusations can easily be made nowadays and as minor things like warning shots count, it seems very likely."
106917,2022-10-28T21:09:06Z,1,[90.0],[90.0],
107689,2022-10-28T19:25:12Z,1,[15.0],[15.0],
107718,2022-10-28T18:58:11Z,1,[1.0],[1.0],
86607,2022-10-28T18:38:22Z,1,[10.0],[10.0],"I doubt either would risk invoking a full NATO response by attacking, but an accusation that someone fired a shot somewhere is all it takes to trigger this question"
368,2022-10-28T18:36:53Z,1,[0.0],[0.0],"Since the 2019-2020 talks between Greece and Turkey, there has been a deescalation of tensions and conflict between the two nation states. With discovery of natural gas resources in the eastern Mediterranean, the internationalization of the Libyan civil war, and diffused dynamics of problems of migration between them, the likelihood of increased tensions among the nation states simmer underneath the dynamics of their geopolitical relationship. Assessments indicate that tensions between the two nation states are in neither's interest and create dynamics of constraint. However, Turkey continues to pursue its goal of seeking to be the energy hub to Europe. The Russian-Ukrainian conflict, international sanctions (EU and USA primarily) on the Russian state because of its invasion of Ukraine encourages Ankara's regional aspirations. Alternatively, Greece continues to forge regional partners with other nation states in order to constrain Turkey's ambitions. The eastern Mediterranean Seas are strategic for trade between Europe and Asia adding to the heightened tensions in the region and between the two nation states. While the likelihood of event(s) occurring that would meet conditions for this IFP exist, the outcome suggested is relatively unlikely but simultaneously possible. Given the strategic interests of both nation states and their ability to constrain each other geopolitically, my initial assessment would be that this outcome is unlikely."
97185,2022-10-28T18:11:12Z,1,[2.0],[2.0],
102737,2022-10-28T18:02:17Z,1,[18.0],[18.0],Initial highly subjective forecast.
94737,2022-10-28T17:50:52Z,1,[0.0],[0.0],
87175,2022-10-28T17:42:20Z,1,[0.0],[0.0],
60695,2022-10-28T17:33:36Z,1,[0.0],[0.0],
87177,2022-10-28T17:16:33Z,1,[1.0],[1.0],
1333,2022-10-28T17:13:54Z,1,[10.0],[10.0],
