"In New York State Rifle & Pistol Association Inc. v. City of New York, NY (NYC), will the Supreme Court rule that NYC’s previous ban on transporting a licensed, locked, and unloaded handgun to a home or shooting range outside city limits is unconstitutional?",2019-11-29T18:00:03Z,2020-04-27T22:00:17Z,No,"['Yes', 'No']","['Society', 'US Politics']",254,654,141,237,,https://www.gjopen.com/questions/1409-in-new-york-state-rifle-pistol-association-inc-v-city-of-new-york-ny-nyc-will-the-supreme-court-rule-that-nyc-s-previous-ban-on-transporting-a-licensed-locked-and-unloaded-handgun-to-a-home-or-shooting-range-outside-city-limits-is-unconstitutional
31275,2020-04-27T22:35:36Z,4,[0.0],[-87.0],They declared it moot. I got this one totally wrong.
83146,2020-01-19T19:52:01Z,1,[50.0],[50.0],
691,2020-01-19T19:48:08Z,14,[12.0],[0.0],
83218,2020-01-19T19:46:07Z,1,[100.0],[100.0],
83054,2020-01-19T19:42:42Z,1,[80.0],[80.0],
82716,2020-01-19T19:42:37Z,1,[100.0],[100.0],
82572,2020-01-19T19:21:09Z,1,[55.0],[55.0],
82977,2020-01-19T19:17:05Z,1,[70.0],[70.0],
83013,2020-01-19T19:12:13Z,1,[25.0],[25.0],
82509,2020-01-19T19:04:22Z,1,[50.0],[50.0],Political decision rather than alegal one.
82432,2020-01-19T18:54:01Z,1,[90.0],[90.0],
82389,2020-01-19T18:53:11Z,1,[100.0],[100.0],
82441,2020-01-19T18:51:53Z,1,[65.0],[65.0],
82164,2020-01-19T18:31:00Z,1,[100.0],[100.0],
82290,2020-01-19T17:51:08Z,1,[75.0],[75.0],
82035,2020-01-19T17:46:39Z,1,[85.0],[85.0],
81869,2020-01-19T17:42:47Z,1,[0.0],[0.0],
81928,2020-01-19T17:42:26Z,1,[100.0],[100.0],
82286,2020-01-19T17:32:40Z,1,[10.0],[10.0],
81954,2020-01-19T17:18:40Z,1,[0.0],[0.0],I believe the No will hold. States Rights baby.
82117,2020-01-19T17:05:17Z,1,[80.0],[80.0],
82153,2020-01-19T16:49:13Z,1,[100.0],[100.0],
82048,2020-01-19T16:43:38Z,1,[100.0],[100.0],Clear infringement of 2nd amendment. See previous DC firearms ownership case.
82063,2020-01-19T16:31:38Z,1,[85.0],[85.0],
81824,2020-01-19T16:24:44Z,1,[0.0],[0.0],
81972,2020-01-19T16:19:51Z,1,[55.0],[55.0],
81965,2020-01-19T16:12:22Z,1,[85.0],[85.0],
7394,2020-01-19T13:21:16Z,1,[80.0],[80.0],
81549,2020-01-18T22:37:44Z,1,[75.0],[75.0],
1333,2020-01-15T18:47:57Z,18,[2.0],[1.0],
1333,2020-01-14T09:35:41Z,17,[1.0],[1.0],
1034,2020-01-13T19:20:01Z,13,[0.0],[0.0],
81510,2020-01-13T16:40:00Z,1,[75.0],[75.0],
81500,2020-01-12T17:46:18Z,1,[75.0],[75.0],
1034,2020-01-11T21:54:39Z,12,[0.0],[0.0],
1333,2020-01-11T14:31:34Z,16,[0.0],[-1.0],
1034,2020-01-10T22:28:52Z,11,[0.0],[0.0],
32300,2020-01-10T16:52:31Z,1,[53.0],[53.0],
691,2020-01-10T15:12:05Z,13,[12.0],[-3.0],"This comes down to guessing whether they're going to decide it or declare it moot and decide the next one. My inclination is to go with the latter. (Full disclosure: Nobody on the Court confides in me, nor should they.)"
32274,2020-01-09T07:58:45Z,2,[90.0],[10.0],
63963,2020-01-09T04:05:16Z,2,[80.0],[75.0],
16139,2020-01-06T19:23:22Z,1,[75.0],[75.0],
31275,2020-01-05T03:31:48Z,1,[86.0],[86.0],Given composition of the Court yes.
1333,2020-01-04T11:15:45Z,15,[1.0],[1.0],
81304,2020-01-03T15:19:49Z,1,[78.0],[78.0],
691,2020-01-02T13:12:34Z,12,[15.0],[7.0],
81275,2020-01-01T23:57:37Z,1,[90.0],[90.0],
74037,2020-01-01T23:12:54Z,1,[97.0],[97.0],
1034,2020-01-01T00:17:59Z,10,[0.0],[0.0],
44308,2019-12-31T12:19:06Z,1,[50.0],[50.0],
1034,2019-12-30T20:24:43Z,9,[0.0],[0.0],
1034,2019-12-29T22:11:48Z,8,[0.0],[0.0],
593,2019-12-29T18:47:01Z,2,[80.0],[50.0],
593,2019-12-29T18:46:31Z,1,[30.0],[30.0],
32274,2019-12-29T09:44:22Z,1,[80.0],[80.0],
691,2019-12-28T19:55:21Z,11,[8.0],[0.0],
1333,2019-12-28T17:00:20Z,14,[0.0],[-7.0],
60009,2019-12-28T12:33:50Z,1,[95.0],[95.0],
57970,2019-12-28T12:18:55Z,1,[10.0],[10.0],
1034,2019-12-26T00:53:13Z,7,[0.0],[0.0],
1034,2019-12-24T16:26:06Z,6,[0.0],[0.0],
1034,2019-12-23T06:11:28Z,5,[0.0],[0.0],
81160,2019-12-21T09:18:23Z,1,[65.0],[65.0],Low risk. Don't want to unnecessarily irk the NRA on this issue.
81158,2019-12-20T21:22:34Z,1,[20.0],[20.0],
1333,2019-12-20T07:51:11Z,13,[7.0],[1.0],
1333,2019-12-18T19:44:23Z,12,[6.0],[1.0],
691,2019-12-18T14:16:48Z,10,[8.0],[0.0],"They will moot this one out, but whoever writes the majority opinion will toss in some obiter dictum to the effect that a similar live law would be closely scrutinized, or some such giveaway phrase. At least one concurring opinion, probably Kagan's, will take indirect and polite exception to that."
1333,2019-12-18T09:32:59Z,11,[5.0],[1.0],
73050,2019-12-17T22:05:08Z,1,[55.0],[55.0],
35766,2019-12-17T18:55:27Z,1,[80.0],[80.0],
691,2019-12-16T14:41:02Z,9,[8.0],[2.0],
55706,2019-12-14T12:31:32Z,1,[98.0],[98.0],
55022,2019-12-14T03:59:19Z,1,[75.0],[75.0],"Given the current make up of SCOTUS, it's highly likely that they will make the adoption of such restrictions on gun owners less likely by ruling against laws like NYC's. But there is also a small chance that since NYC decided to rescind the law, SCOTUS will not render a final decision on the validity of the law. Also, I think many respondents are misreading the question."
78587,2019-12-13T20:15:39Z,1,[70.0],[70.0],
69752,2019-12-13T11:26:47Z,1,[85.0],[85.0],"The truth of guns in the US--that they are only instruments, utensils and that the user is to blame--is becoming abundantly used and clear. The court will follow."
1034,2019-12-13T08:34:28Z,4,[0.0],[0.0],
1333,2019-12-12T19:10:53Z,10,[4.0],[-1.0],
691,2019-12-12T13:03:32Z,8,[6.0],[-2.0],
81023,2019-12-12T00:14:08Z,1,[0.0],[0.0],
1333,2019-12-11T19:17:20Z,9,[5.0],[-10.0],
691,2019-12-11T13:31:08Z,7,[8.0],[-4.0],
48709,2019-12-11T02:36:21Z,2,[0.0],[0.0],Ok so the way I read this if you have your firearm in your house according to this law from New York state or city you would not be able to take your firearm on a hunting trip to upstate New York where hunting deer or if you really want to call a Bambi is a yearly event from little boys that are just growing up to shoot their first but two old men that have only a little time left to shoot their last buck. As a person with cognitive thinking this law just has no logical l merits.
1034,2019-12-10T19:41:31Z,3,[0.0],[0.0],
80985,2019-12-10T19:31:19Z,1,[12.0],[12.0],"The challengers highlight three elements for the court (2nd amendment, commerce clause, and the right to travel), setting up a potentially wide scope and impact of a ruling. Based on the NY legal changes and the questions posed by the Justices during arguments, it appears very unlikely the Court will act decisively. The case will likely be returned as moot."
1333,2019-12-10T18:44:06Z,8,[15.0],[14.0],
1150,2019-12-10T13:59:42Z,1,[95.0],[95.0],"Previous firearm related decisions have considered the reasonableness of compliance with the law. In this case, an activity was deemed lawful, but the law was preventing the activity by needlessly complicating that activity."
32861,2019-12-09T20:43:48Z,1,[65.0],[65.0],New composition of Supreme Court
63963,2019-12-09T15:52:43Z,1,[5.0],[5.0],
1034,2019-12-08T22:53:10Z,2,[0.0],[0.0],
76743,2019-12-08T22:49:26Z,1,[100.0],[100.0],
7809,2019-12-08T18:07:50Z,1,[55.0],[55.0],
79430,2019-12-08T14:05:58Z,1,[75.0],[75.0],
73436,2019-12-08T13:18:46Z,1,[100.0],[100.0],
1333,2019-12-08T12:17:46Z,7,[1.0],[1.0],
53391,2019-12-08T11:25:19Z,2,[0.0],[-10.0],
63914,2019-12-08T10:32:34Z,1,[15.0],[15.0],"New York is not natural NRA territory and there is a degree of sensitivity (not enough, to most Europeans) to the latest mass shootings so a lot can happen by July. However, on points of usage: if it is locked, unloaded and licenced, what is the purpose of transporting the weapon? If it is to be used up country or out of state, how can this be distinguished from transporting the weapon for purposes of trade, and what limits are there on the trading of weapons within and outside the city and state boundaries? If it is for trade, what measures are in place for the mandatory 'cooling off' and safety check period on gun sales or does this not apply to private traders? Owning a gun may be protected by the Constitution - although not in all opinions - but trading one is not."
29980,2019-12-08T02:54:38Z,1,[99.0],[99.0],
60598,2019-12-08T00:05:36Z,1,[50.0],[50.0],
72433,2019-12-07T21:47:58Z,1,[69.0],[69.0],Conservative bias
37115,2019-12-07T18:01:38Z,1,[25.0],[25.0],I think the court will determine the question is moot.
72163,2019-12-07T18:00:34Z,1,[75.0],[75.0],The shift of the Supreme Court to the right
70219,2019-12-07T16:58:48Z,1,[0.0],[0.0],It is unconstitutional!
79464,2019-12-07T16:41:42Z,1,[70.0],[70.0],
691,2019-12-07T13:58:51Z,6,[12.0],[-18.0],I think they'll go 5-4 or maybe 6-3 for moot on this case and wait for one that's more fun for them.
76255,2019-12-07T07:52:31Z,1,[80.0],[80.0],The US is wedded to its right to bear arms constitutional right. This would therefore be a legal precedent that could be followed elsewhere. I don’t think the Supreme Court will rule in NYCs favour. Although they ought to!
40584,2019-12-07T00:02:51Z,1,[10.0],[10.0],Jumping in here.
1034,2019-12-04T20:12:51Z,1,[0.0],[0.0],Supreme Court shows little appetite for expanding gun rights in arguments over repealed New York regulation
70711,2019-12-04T18:17:22Z,2,[30.0],[-70.0],
691,2019-12-04T15:38:50Z,5,[30.0],[-15.0],I think they'll take a pass on this one and wait for something less moot to come up.
48709,2019-12-03T01:27:08Z,1,[0.0],[0.0],"The Court ruling is in the last line of this excerpt from the scotus post the probably going to throw it out because this state repealed the ruling. This morning the Supreme Court heard oral argument in a challenge to the constitutionality of a New York City rule that barred gun owners from taking their licensed guns outside the city. The gun owners argued that the rule violated their right to “keep and bear arms” under the Constitution’s Second Amendment. But it’s not clear that the justices will reach the merits of the gun owners’ complaint. Instead, it seemed possible (although far from certain) that they could throw out the case because the dispute is now moot – that is, no longer a live controversy – after the city repealed the rule last summer"
1333,2019-12-03T01:10:15Z,6,[0.0],[-75.0],
1333,2019-12-02T20:17:32Z,5,[75.0],[8.0],
75093,2019-12-02T17:03:58Z,1,[55.0],[55.0],"Assuming it is not declared moot, than yes they will likely rule it unconstitutional."
6488,2019-12-02T14:58:23Z,1,[95.0],[95.0],
691,2019-12-02T14:33:57Z,4,[45.0],[40.0],"Oops--had a 5 there, which was a typo."
34920,2019-12-02T08:27:11Z,1,[100.0],[100.0],
14133,2019-12-02T02:18:43Z,1,[25.0],[25.0],
1333,2019-12-01T22:59:13Z,4,[67.0],[1.0],
2497,2019-12-01T20:58:19Z,1,[55.0],[55.0],
691,2019-12-01T19:24:52Z,3,[5.0],[-51.0],
677,2019-12-01T19:04:00Z,1,[0.0],[0.0],
12879,2019-12-01T17:28:57Z,1,[70.0],[70.0],
1333,2019-11-30T16:44:10Z,3,[66.0],[1.0],
691,2019-11-30T13:45:11Z,2,[56.0],[-42.0],"@Econja2018 raises a point that I had overlooked or forgotten about: The Court will give it a miss if there is no existing controversy, and this one is certainly easy to declare moot. Since appellate courts in the US have a general practice of not deciding anything they don't have to, or for other reasons would rather not, I'm coming 'way down on this one; probably will come down some more as life wears on. Thanks, @Econja2018."
53391,2019-11-29T20:52:47Z,1,[10.0],[10.0],If the court says the case is moot then this question closes as NO. If the court decides it then The conservative court will probably go Yes. I think the court will say the original controversy is moot. There are other issues with New York law that need to go back through the lower courts.
691,2019-11-29T20:48:09Z,1,[98.0],[98.0],
70711,2019-11-29T20:22:16Z,1,[100.0],[100.0],Conservative majority
1333,2019-11-29T19:10:37Z,2,[65.0],[10.0],
1333,2019-11-29T18:41:31Z,1,[55.0],[55.0],
