"Between 1 July 2019 and 30 June 2020, will an armed group from South Sudan engage in a campaign that systematically kills 1,000 or more civilians in South Sudan?",2019-07-01T18:00:44Z,2019-09-29T06:59:44Z,No,"['Yes', 'No']",['Security and Conflict'],76,654,40,237,,https://www.gjopen.com/questions/1229-between-1-april-2019-and-31-march-2020-will-an-armed-group-from-south-sudan-engage-in-a-campaign-that-systematically-kills-1-000-or-more-civilians-in-south-sudan
67609,2019-09-28T14:10:14Z,2,[18.0],[11.0],I updated my estimation after looking past year resolution and understanding what the meaning of the question really is.
691,2019-08-23T13:44:43Z,9,[2.0],[-1.0],
1333,2019-08-22T21:29:11Z,12,[4.0],[-1.0],
1333,2019-08-21T18:22:14Z,11,[5.0],[-1.0],
1333,2019-08-21T18:17:12Z,10,[6.0],[-1.0],
77830,2019-08-21T04:09:32Z,1,[20.0],[20.0],
1333,2019-08-20T18:23:25Z,9,[7.0],[-1.0],
691,2019-08-15T11:49:08Z,8,[3.0],[0.0],
54140,2019-08-13T14:16:22Z,1,[0.0],[0.0],
82,2019-08-13T01:32:06Z,2,[5.0],[-5.0],
1333,2019-08-12T17:48:59Z,8,[8.0],[-1.0],
172,2019-08-11T11:41:25Z,2,[1.0],[0.0],
691,2019-08-10T15:16:16Z,7,[3.0],[1.0],
427,2019-08-04T21:18:06Z,1,[10.0],[10.0],
77546,2019-08-03T18:34:08Z,1,[10.0],[10.0],
77502,2019-08-03T05:21:21Z,1,[15.0],[15.0],Less chance than last year.
1333,2019-08-02T18:13:37Z,7,[9.0],[-1.0],
31251,2019-08-02T08:10:54Z,1,[1.0],[1.0],
12591,2019-07-29T20:39:52Z,1,[10.0],[10.0],
691,2019-07-27T11:06:38Z,6,[2.0],[0.0],
1333,2019-07-26T18:14:46Z,6,[10.0],[1.0],
1333,2019-07-25T18:33:26Z,5,[9.0],[-1.0],
1333,2019-07-22T19:40:11Z,4,[10.0],[2.0],
76783,2019-07-22T18:38:56Z,1,[20.0],[20.0],
82,2019-07-22T17:45:58Z,1,[10.0],[10.0],
77142,2019-07-22T13:05:25Z,1,[30.0],[30.0],
11430,2019-07-21T15:31:00Z,1,[35.0],[35.0],
691,2019-07-21T12:45:55Z,5,[2.0],[0.0],
76674,2019-07-19T05:06:59Z,1,[21.0],[21.0],
76597,2019-07-18T14:11:32Z,1,[15.0],[15.0],
62808,2019-07-17T21:57:32Z,1,[0.0],[0.0],
63963,2019-07-16T09:46:46Z,1,[0.0],[0.0],
691,2019-07-15T13:26:57Z,4,[2.0],[0.0],
49838,2019-07-14T15:20:46Z,1,[67.0],[67.0],
32300,2019-07-11T13:35:52Z,1,[10.0],[10.0],"Violence is decreasing overall, but attacks on civilians are still high in some regions and it is unclear how stable the peace agreement is. Civilian deaths are ongoing, but may not reach 1000 for any one group https://www.voanews.com/africa/un-more-100-civilians-killed-fresh-s-sudan-violence"
13157,2019-07-10T19:49:27Z,1,[35.0],[35.0],
691,2019-07-08T12:04:19Z,3,[2.0],[-1.0],
5018,2019-07-08T04:30:30Z,1,[2.0],[2.0],
691,2019-07-05T12:07:11Z,2,[3.0],[-5.0],
172,2019-07-04T23:34:18Z,1,[1.0],[1.0],
75790,2019-07-04T14:06:46Z,1,[10.0],[10.0],
32100,2019-07-03T17:59:47Z,1,[0.0],[0.0],
15196,2019-07-03T09:23:33Z,1,[0.0],[0.0],
29980,2019-07-03T02:16:42Z,1,[99.0],[99.0],
1333,2019-07-02T19:21:47Z,3,[8.0],[-1.0],
1333,2019-07-02T19:00:09Z,2,[9.0],[-1.0],
36132,2019-07-02T16:04:07Z,1,[0.0],[0.0],
75093,2019-07-02T16:03:12Z,1,[35.0],[35.0],
691,2019-07-02T15:29:27Z,1,[8.0],[8.0],
39978,2019-07-02T07:35:49Z,1,[1.0],[1.0],
1333,2019-07-01T18:09:18Z,1,[10.0],[10.0],
5766,2019-07-01T18:05:37Z,1,[75.0],[75.0],
