Who will win the 2022 presidential election in Brazil?,2021-12-03T18:00:00Z,2022-10-30T07:01:00Z,Luiz Inácio Lula da Silva,"['Jair Bolsonaro', 'João Doria', 'Ciro Gomes', 'Sérgio Moro', 'Luiz Inácio Lula da Silva', 'Another candidate']","['Leader Entry/Exit', 'Elections and Referenda', 'Non-US Politics']",668,654,187,237,,https://www.gjopen.com/questions/2207-who-will-win-the-2022-presidential-election-in-brazil
86367,2022-10-30T05:45:55Z,9,"[27.0, 0.0, 0.0, 0.0, 73.0, 0.0]","[10.0, 0.0, 0.0, 0.0, -10.0, 0.0]"
96668,2022-10-27T14:09:50Z,1,"[60.0, 0.0, 0.0, 0.0, 40.0, 0.0]","[60.0, 0.0, 0.0, 0.0, 40.0, 0.0]"
84927,2022-10-27T11:47:51Z,1,"[33.0, 0.0, 0.0, 0.0, 67.0, 0.0]","[33.0, 0.0, 0.0, 0.0, 67.0, 0.0]",
107269,2022-10-27T04:47:45Z,2,"[16.0, 1.0, 0.0, 0.0, 83.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","After being cleared of corruption charges Lula da Silva seems to be the clear favorite and the only other competitor, Bolsonaro, has been trending down in the polls. I still think he has a chance but it has grown quite small in recent days."
94872,2022-10-27T02:00:45Z,45,"[26.0, 0.0, 0.0, 0.0, 74.0, 0.0]","[-5.0, 0.0, 0.0, 0.0, 5.0, 0.0]",
36132,2022-10-26T17:55:07Z,1,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]",
81456,2022-10-26T17:12:04Z,22,"[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","The Economist Poll of Polls, as of Oct 26 - https://www.economist.com/interactive/brazil-2022 :"
107260,2022-10-26T15:30:58Z,1,"[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]","[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]",
1333,2022-10-26T14:45:42Z,78,"[27.0, 0.0, 0.0, 0.0, 73.0, 0.0]","[-14.0, 0.0, 0.0, 0.0, 14.0, 0.0]",
107330,2022-10-26T14:02:14Z,3,"[23.0, 0.0, 0.0, 0.0, 77.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
98842,2022-10-26T14:01:43Z,3,"[45.0, 0.0, 0.0, 0.0, 55.0, 0.0]","[-4.0, 0.0, 0.0, 0.0, 4.0, 0.0]",
107301,2022-10-26T13:04:47Z,1,"[31.0, 0.0, 0.0, 0.0, 69.0, 0.0]","[31.0, 0.0, 0.0, 0.0, 69.0, 0.0]",
107255,2022-10-26T03:19:42Z,2,"[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","[5.0, 0.0, 0.0, 0.0, -5.0, 0.0]","I decided to update this prediction and increase the percentage for Jair Bolonsaro. I think he has a better chance of winning than I originally thought, but still not enough to win the election."
94872,2022-10-26T02:50:07Z,44,"[31.0, 0.0, 0.0, 0.0, 69.0, 0.0]","[2.0, 0.0, 0.0, 0.0, -2.0, 0.0]",
107267,2022-10-25T20:14:25Z,1,"[10.0, 0.0, 0.0, 0.0, 90.0, 0.0]","[10.0, 0.0, 0.0, 0.0, 90.0, 0.0]",
94837,2022-10-25T19:03:39Z,19,"[25.0, 0.0, 0.0, 0.0, 75.0, 0.0]","[3.0, 0.0, 0.0, 0.0, -3.0, 0.0]",
107264,2022-10-25T16:11:32Z,3,"[26.0, 0.0, 0.0, 0.0, 74.0, 0.0]","[26.0, 0.0, 0.0, 0.0, -26.0, 0.0]",
107264,2022-10-25T16:11:05Z,2,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
78910,2022-10-25T12:53:14Z,1,"[75.0, 0.0, 0.0, 0.0, 25.0, 0.0]","[75.0, 0.0, 0.0, 0.0, 25.0, 0.0]",
100653,2022-10-25T07:46:20Z,41,"[27.0, 0.0, 0.0, 0.0, 73.0, 0.0]","[3.0, 0.0, 0.0, 0.0, -3.0, 0.0]",
94872,2022-10-25T04:54:15Z,43,"[29.0, 0.0, 0.0, 0.0, 71.0, 0.0]","[-8.0, 0.0, 0.0, 0.0, 8.0, 0.0]",
102243,2022-10-25T01:39:17Z,23,"[29.0, 0.0, 0.0, 0.0, 71.0, 0.0]","[-6.0, 0.0, 0.0, 0.0, 6.0, 0.0]",
81456,2022-10-25T00:20:32Z,21,"[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","[-4.0, 0.0, 0.0, 0.0, 4.0, 0.0]",
105312,2022-10-24T19:16:41Z,2,"[1.0, 0.0, 0.0, 0.0, 99.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
107282,2022-10-24T19:11:53Z,1,"[30.0, 0.0, 2.0, 3.0, 65.0, 0.0]","[30.0, 0.0, 2.0, 3.0, 65.0, 0.0]",
1333,2022-10-24T18:02:12Z,77,"[41.0, 0.0, 0.0, 0.0, 59.0, 0.0]","[-10.0, 0.0, 0.0, 0.0, 10.0, 0.0]",
104833,2022-10-24T18:01:38Z,1,"[14.0, 0.0, 0.0, 0.0, 86.0, 0.0]","[14.0, 0.0, 0.0, 0.0, 86.0, 0.0]",
107338,2022-10-24T17:56:28Z,1,"[70.0, 0.0, 0.0, 0.0, 30.0, 0.0]","[70.0, 0.0, 0.0, 0.0, 30.0, 0.0]",
107283,2022-10-24T16:39:12Z,1,"[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]","[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]",
98842,2022-10-24T16:32:41Z,2,"[49.0, 0.0, 0.0, 0.0, 51.0, 0.0]","[29.0, -20.0, 0.0, 0.0, -9.0, 0.0]",
100716,2022-10-24T15:47:17Z,2,"[5.0, 0.0, 0.0, 0.0, 95.0, 0.0]","[-30.0, -5.0, -5.0, -10.0, 50.0, 0.0]",
107262,2022-10-24T15:22:10Z,3,"[30.0, 5.0, 5.0, 15.0, 45.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
107346,2022-10-24T15:08:05Z,3,"[23.0, 0.0, 0.0, 0.0, 77.0, 0.0]","[5.0, 0.0, 0.0, 0.0, -5.0, 0.0]",
107262,2022-10-24T15:07:42Z,2,"[30.0, 5.0, 5.0, 15.0, 45.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
107253,2022-10-24T14:08:12Z,1,"[35.0, 0.0, 0.0, 0.0, 0.0, 65.0]","[35.0, 0.0, 0.0, 0.0, 0.0, 65.0]",
94837,2022-10-24T13:58:36Z,18,"[22.0, 0.0, 0.0, 0.0, 78.0, 0.0]","[2.0, 0.0, 0.0, 0.0, -2.0, 0.0]",
107093,2022-10-24T13:25:50Z,7,"[40.0, 0.0, 0.0, 0.0, 60.0, 0.0]","[15.0, 0.0, 0.0, 0.0, -15.0, 0.0]","Bolsonaro did better than the first round polls and if this error is repeated in the polls for the second round, may be that he actually has a much better chance than anticipated. Also Lula has been trending slight down since the first round https://www.economist.com/interactive/brazil-2022. Only one poll out of 10 puts them really close, with the rest leaving a healthy margin, but the error bars may still be quite wide on these polls. I am adjusting with much higher chance for a Bolsonaro win but still with a comfortable favor to Lula."
107330,2022-10-23T20:46:06Z,2,"[23.0, 0.0, 0.0, 0.0, 77.0, 0.0]","[7.0, 0.0, 0.0, 0.0, -7.0, 0.0]",
107255,2022-10-23T19:24:27Z,1,"[25.0, 0.0, 0.0, 0.0, 75.0, 0.0]","[25.0, 0.0, 0.0, 0.0, 75.0, 0.0]","When looking on the internet, I found that Jair Bolsonaro and Luiz Inacio Lula da Silva are the top two contenders. I also looked at other predictions and found that these two are the most popular. On this website, https://www.as-coa.org/articles/poll-tracker-brazils-2022-presidential-election, I found that Luiz Inacio Lula da Silva is slightly ranked above Jair Bolsonaro. However, it seems that the gap is closing. I think that Luiz Inacio Lula da Silva still has a better chance of winning, but I will continue to update this prediction."
94872,2022-10-23T19:00:08Z,42,"[37.0, 0.0, 0.0, 0.0, 63.0, 0.0]","[4.0, 0.0, 0.0, 0.0, -4.0, 0.0]",
99780,2022-10-23T18:04:47Z,14,"[28.0, 0.0, 0.0, 0.0, 72.0, 0.0]","[4.0, 0.0, 0.0, 0.0, -4.0, 0.0]",
89038,2022-10-23T16:43:15Z,2,"[13.0, 0.0, 0.0, 0.0, 87.0, 0.0]","[5.0, 0.0, 0.0, 0.0, -5.0, 0.0]","Fundamentals still favour Lula IMO, Bolsanoro will need both major switch from Lula voters first round and a majority of minority candidates."
104218,2022-10-23T16:41:02Z,9,"[50.0, 0.0, 0.0, 0.0, 50.0, 0.0]","[8.0, 0.0, 0.0, 0.0, -8.0, 0.0]","Too close to call right now, and given pro Bolsonaro voters are hesitant to answer pollsters it’s my view Lula’s lead evaporates. See latest datafolha margins of error and 6% of voters undecided…this suggests Bolsonaro may also move ahead as they “reveal” themselves closer to the election."
104209,2022-10-23T15:02:00Z,9,"[50.0, 0.0, 0.0, 0.0, 50.0, 0.0]","[5.0, 0.0, 0.0, 0.0, -5.0, 0.0]",
45594,2022-10-23T13:29:25Z,2,"[45.0, 0.0, 0.0, 0.0, 55.0, 0.0]","[15.0, -5.0, -5.0, -5.0, 5.0, -5.0]",
94837,2022-10-23T13:27:12Z,17,"[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0]",
60695,2022-10-23T13:06:45Z,2,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, -100.0, 0.0, 0.0, 100.0, 0.0]",
1667,2022-10-23T13:01:50Z,2,"[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]","[-14.0, 0.0, 0.0, 0.0, 14.0, 0.0]",
1333,2022-10-22T23:39:29Z,76,"[51.0, 0.0, 0.0, 0.0, 49.0, 0.0]","[6.0, 0.0, 0.0, 0.0, -6.0, 0.0]",
81456,2022-10-22T23:19:02Z,20,"[34.0, 0.0, 0.0, 0.0, 66.0, 0.0]","[3.0, 0.0, 0.0, 0.0, -3.0, 0.0]",
94837,2022-10-22T17:51:33Z,16,"[19.0, 0.0, 0.0, 0.0, 81.0, 0.0]","[-4.0, 0.0, 0.0, 0.0, 4.0, 0.0]",
102243,2022-10-22T17:30:57Z,22,"[35.0, 0.0, 0.0, 0.0, 65.0, 0.0]","[5.0, 0.0, 0.0, 0.0, -5.0, 0.0]",
107271,2022-10-22T01:32:16Z,1,"[40.0, 0.0, 0.0, 0.0, 60.0, 0.0]","[40.0, 0.0, 0.0, 0.0, 60.0, 0.0]",
94872,2022-10-22T01:16:50Z,41,"[33.0, 0.0, 0.0, 0.0, 67.0, 0.0]","[3.0, 0.0, 0.0, 0.0, -3.0, 0.0]",
81456,2022-10-22T00:08:04Z,19,"[31.0, 0.0, 0.0, 0.0, 69.0, 0.0]","[2.0, 0.0, 0.0, 0.0, -2.0, 0.0]",
86607,2022-10-21T23:54:11Z,16,"[35.0, 0.0, 0.0, 0.0, 65.0, 0.0]","[-1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",
87666,2022-10-21T18:40:58Z,1,"[10.0, 0.0, 0.0, 0.0, 90.0, 0.0]","[10.0, 0.0, 0.0, 0.0, 90.0, 0.0]",
107953,2022-10-21T17:31:34Z,1,"[24.0, 0.0, 0.0, 0.0, 76.0, 0.0]","[24.0, 0.0, 0.0, 0.0, 76.0, 0.0]",I used the first round of voting outcome
107257,2022-10-21T15:28:03Z,1,"[22.0, 0.0, 0.0, 0.0, 78.0, 0.0]","[22.0, 0.0, 0.0, 0.0, 78.0, 0.0]",
107269,2022-10-21T15:18:22Z,1,"[16.0, 1.0, 0.0, 0.0, 83.0, 0.0]","[16.0, 1.0, 0.0, 0.0, 83.0, 0.0]",
87991,2022-10-21T09:48:39Z,3,"[29.0, 0.0, 0.0, 0.0, 71.0, 0.0]","[6.0, 0.0, 0.0, 0.0, -6.0, 0.0]",
94872,2022-10-21T04:24:35Z,40,"[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","[7.0, 0.0, 0.0, 0.0, -7.0, 0.0]",
81456,2022-10-20T23:13:16Z,18,"[29.0, 0.0, 0.0, 0.0, 71.0, 0.0]","[5.0, 0.0, 0.0, 0.0, -5.0, 0.0]",
94837,2022-10-20T19:59:53Z,15,"[23.0, 0.0, 0.0, 0.0, 77.0, 0.0]","[-2.0, 0.0, 0.0, 0.0, 2.0, 0.0]",
94837,2022-10-20T19:59:09Z,14,"[25.0, 0.0, 0.0, 0.0, 75.0, 0.0]","[10.0, 0.0, 0.0, 0.0, -10.0, 0.0]",
107718,2022-10-20T17:40:08Z,3,"[60.0, 0.0, 0.0, 0.0, 40.0, 0.0]","[30.0, 0.0, 0.0, 0.0, -30.0, 0.0]",
37236,2022-10-20T15:30:07Z,13,"[42.0, 0.0, 0.0, 0.0, 58.0, 0.0]","[4.0, 0.0, 0.0, 0.0, -4.0, 0.0]",L.ula does not have a son who is running the Bannon-Trump playbook where Bolsonaro does and it is starting to show.
107272,2022-10-20T15:29:28Z,3,"[8.0, 0.0, 0.0, 0.0, 92.0, 0.0]","[-4.0, 0.0, 0.0, 0.0, 4.0, 0.0]",
1333,2022-10-20T13:00:44Z,75,"[45.0, 0.0, 0.0, 0.0, 55.0, 0.0]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0]",
691,2022-10-20T13:00:33Z,18,"[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]","[4.0, 0.0, 0.0, 0.0, -4.0, 0.0]",
102243,2022-10-20T11:48:35Z,21,"[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","[3.0, 0.0, 0.0, 0.0, -3.0, 0.0]",
107293,2022-10-19T19:15:23Z,1,"[42.0, 0.0, 0.0, 0.0, 58.0, 0.0]","[42.0, 0.0, 0.0, 0.0, 58.0, 0.0]","According to a poll tracker on AS/COA, there is a close race between Luiz Inacio Lula da Silva and Jair Bolsonaro. The race was not close until recently in late 2022 and now the polls are showing a tight race between the two, with Luiz Inacio Lula da Silva in the lead against Jair Bolsonaro. Also, Lula has the approval of women and more economically challenged Brazilians. Although, Bolsonaro’s administration made some improvements to the Brazilian economy making it so that the majority of his voters say that there was an improvement in the economy which is different from only 13% of Lula’s voters stating this. Also after the presidential race, we see that Lula has 48.43% of the votes and Bolsonaro has 43.2%, putting Lula in the lead."
1333,2022-10-19T15:40:33Z,74,"[44.0, 0.0, 0.0, 0.0, 56.0, 0.0]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0]",
107346,2022-10-19T15:24:28Z,2,"[18.0, 0.0, 0.0, 0.0, 82.0, 0.0]","[3.0, 0.0, 0.0, 0.0, -3.0, 0.0]",
107331,2022-10-19T13:56:50Z,1,"[30.0, 0.0, 0.0, 10.0, 60.0, 0.0]","[30.0, 0.0, 0.0, 10.0, 60.0, 0.0]",
691,2022-10-19T12:57:53Z,17,"[16.0, 0.0, 0.0, 0.0, 84.0, 0.0]","[4.0, 0.0, 0.0, 0.0, -4.0, 0.0]",
100653,2022-10-19T06:41:41Z,40,"[24.0, 0.0, 0.0, 0.0, 76.0, 0.0]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0]",
107369,2022-10-18T21:36:02Z,2,"[49.0, 0.0, 0.0, 0.0, 51.0, 0.0]","[16.0, -3.0, -7.0, -2.0, 4.0, -8.0]","I put Lula at 51% because he has the approval of women and poor Brazilians. And Jair Bolsonaro at 49%, because Bolsonaro’s administration made some improvement to the Brazilian economy and has the support of Brazil’s business sector (https://www.france24.com/en/live-news/20220923-brazil-s-business-sector-still-supports-bolsonaro-but-with-reservations"
104611,2022-10-18T21:22:30Z,1,"[25.0, 0.0, 0.0, 0.0, 75.0, 0.0]","[25.0, 0.0, 0.0, 0.0, 75.0, 0.0]",
101542,2022-10-18T13:22:14Z,13,"[40.0, 0.0, 0.0, 0.0, 60.0, 0.0]","[5.0, 0.0, 0.0, 0.0, -5.0, 0.0]",
94872,2022-10-18T03:07:01Z,39,"[23.0, 0.0, 0.0, 0.0, 77.0, 0.0]","[-1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",
107303,2022-10-18T00:35:19Z,2,"[29.0, 0.0, 0.0, 0.0, 71.0, 0.0]","[-3.0, 0.0, 0.0, 0.0, 3.0, 0.0]",
107258,2022-10-17T23:00:13Z,1,"[10.0, 0.0, 0.0, 0.0, 90.0, 0.0]","[10.0, 0.0, 0.0, 0.0, 90.0, 0.0]","I predict that Lula will win with a 90% chance. The polls seem to be in Lula's favor significantly. As of the second round of the election, Lula holds about a 5% lead."
99943,2022-10-17T21:52:05Z,3,"[15.0, 0.0, 0.0, 0.0, 85.0, 0.0]","[2.0, 0.0, 0.0, 0.0, -2.0, 0.0]",
104072,2022-10-17T17:51:44Z,2,"[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]","[-5.0, 0.0, 0.0, 0.0, 10.0, -5.0]",
107339,2022-10-17T14:12:56Z,1,"[12.0, 0.0, 0.0, 0.0, 88.0, 0.0]","[12.0, 0.0, 0.0, 0.0, 88.0, 0.0]",
107277,2022-10-17T13:52:51Z,3,"[15.0, 0.0, 0.0, 0.0, 85.0, 0.0]","[-18.0, 0.0, 0.0, 0.0, 18.0, 0.0]",
107272,2022-10-17T13:33:49Z,2,"[12.0, 0.0, 0.0, 0.0, 88.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
107343,2022-10-17T12:04:49Z,1,"[46.0, 2.0, 2.0, 3.0, 47.0, 0.0]","[46.0, 2.0, 2.0, 3.0, 47.0, 0.0]"
86607,2022-10-17T11:44:30Z,15,"[36.0, 0.0, 0.0, 0.0, 64.0, 0.0]","[4.0, 0.0, 0.0, 0.0, -4.0, 0.0]",https://twitter.com/PesqBR2022/status/1581665449217265667
94837,2022-10-17T05:34:28Z,13,"[15.0, 0.0, 0.0, 0.0, 85.0, 0.0]","[3.0, 0.0, 0.0, 0.0, -3.0, 0.0]",
94837,2022-10-17T05:34:12Z,12,"[12.0, 0.0, 0.0, 0.0, 88.0, 0.0]","[4.0, 0.0, 0.0, 0.0, -4.0, 0.0]",
107262,2022-10-16T20:43:19Z,1,"[30.0, 5.0, 5.0, 15.0, 45.0, 0.0]","[30.0, 5.0, 5.0, 15.0, 45.0, 0.0]",
1333,2022-10-16T17:12:01Z,73,"[43.0, 0.0, 0.0, 0.0, 57.0, 0.0]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0]",
81431,2022-10-16T07:54:42Z,7,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
107848,2022-10-16T06:16:26Z,1,"[10.0, 0.0, 0.0, 0.0, 90.0, 0.0]","[10.0, 0.0, 0.0, 0.0, 90.0, 0.0]",
4531,2022-10-15T23:09:23Z,2,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[-4.0, -69.0, -1.0, -6.0, 83.0, -3.0]",
105312,2022-10-15T21:14:03Z,1,"[1.0, 0.0, 0.0, 0.0, 99.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 99.0, 0.0]","As in Italy, UK, India, Russia, and China, leadership errs on the side of far right. Polls show Lula's popularity following this trend."
86607,2022-10-15T13:31:38Z,14,"[32.0, 0.0, 0.0, 0.0, 68.0, 0.0]","[5.0, 0.0, 0.0, 0.0, -5.0, 0.0]",Polls narrowing a lot more than I expected
107303,2022-10-15T03:05:58Z,1,"[32.0, 0.0, 0.0, 0.0, 68.0, 0.0]","[32.0, 0.0, 0.0, 0.0, 68.0, 0.0]",
107273,2022-10-14T23:30:17Z,1,"[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]","[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]",
94872,2022-10-14T02:46:04Z,38,"[24.0, 0.0, 0.0, 0.0, 76.0, 0.0]","[-2.0, 0.0, 0.0, 0.0, 2.0, 0.0]",
691,2022-10-13T18:17:48Z,16,"[12.0, 0.0, 0.0, 0.0, 88.0, 0.0]","[-1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",
102243,2022-10-13T11:04:34Z,20,"[27.0, 0.0, 0.0, 0.0, 73.0, 0.0]","[2.0, 0.0, 0.0, 0.0, -2.0, 0.0]",
94872,2022-10-13T03:46:27Z,37,"[26.0, 0.0, 0.0, 0.0, 74.0, 0.0]","[3.0, 0.0, 0.0, 0.0, -3.0, 0.0]",
86607,2022-10-13T03:15:57Z,13,"[27.0, 0.0, 0.0, 0.0, 73.0, 0.0]","[6.0, 0.0, 0.0, 0.0, -6.0, 0.0]",
107259,2022-10-12T19:46:54Z,1,"[10.0, 0.0, 0.0, 0.0, 90.0, 0.0]","[10.0, 0.0, 0.0, 0.0, 90.0, 0.0]",most polls show Lula with a comfortable lead
107689,2022-10-12T18:30:33Z,1,"[40.0, 0.0, 0.0, 0.0, 60.0, 0.0]","[40.0, 0.0, 0.0, 0.0, 60.0, 0.0]",
